"報告年度:2021","議題:水資源管理"
"公司代號","公司名稱","用水量(公噸)-用水量(公噸)","資料範圍-資料範圍","用水密集度-密集度(公噸/單位)","用水密集度-單位","取得驗證-取得驗證"
"=""2369""","菱生","960851.0000","全公司工業用水量","0.1740","產品",""
"=""2371""","大同","537322.0000","僅母公司","無，3321.72公噸/億元","",""
"=""2373""","震旦行","38445.5200","僅母公司","0.0117","營業額",""
"=""2374""","佳能","5763.0000","110年度","1.6119","營業額",""
"=""2375""","凱美","2525.2500","汙水處理站","無，無統計相關數據","",""
"=""2376""","技嘉","259234.5700","技嘉科技營運總部、桃園南平廠、中國東莞廠和寧波廠。","2.1265","百萬營業額",""
"=""2377""","微星","89159.0000","母公司","0.4400","營業額",""
"=""2379""","瑞昱","50640.0000","僅包含瑞昱新竹營運總部","11.2700","瑞昱新竹營運總部員工人數(4,492人)",""
"=""2380""","虹光","11323.0000","母公司","0.1700","產品",""
"=""2382""","廣達","2807330.0000","資料邊界：廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB","無，無統計相關數據","",""
"=""2383""","台光電","101897.0000","母公司","0.0110","耗水量/總營收(單位:新台幣仟元)",""
"=""2385""","群光","1632816.6400","群光電子(含海外各廠區，不含子公司)","1632816.6400","營業額","ISO 9001"
"=""2387""","精元","無，無統計相關數據","","無，無統計相關數據","",""
"=""2388""","威盛","17506.0000","威盛電子台北總公司","無，無製程用水，一般生活用水皆設置節水設備。","",""
"=""2390""","云辰","無，無統計相關數據","","無，無統計相關數據","",""
"=""2392""","正崴","3365820.0000","合併財務報表之母子公司","無，無統計相關數據","",""
"=""2393""","億光","341.0000","億光電子台灣地區","無，無統計相關數據","",""
"=""2395""","研華","332806.0000","研華台灣(瑞光大樓、陽光大樓、東湖廠、林口園區)、日本廠、昆山園區","5.9400","營業額百萬","ISO 14001"
"=""2397""","友通","30047.0000","友通資訊之組織邊界設定以營運控制權為主，其盤查組織邊界之溫室氣體排放量百分之百歸屬本公司，友通包括汐止遠雄總部、汐止工廠及桃園工廠，其中汐止工廠於2021年4月至10月搬遷，11月25日完成交屋。","無，無統計相關數據","",""
"=""2399""","映泰","276.0000","110年1-12月每月平均用水噸數","無，法令無規範","",""
"=""2401""","凌陽","30320.0000","母公司","87.8800","員工人數 (30320度/345人)",""
"=""2402""","毅嘉","108381.0000","僅母公司","無，無統計相關數據","",""
"=""2404""","漢唐","無，無統計相關數據","","無，無統計相關數據","",""
"=""2405""","輔信","4829.0000","母公司","無，無統計相關數據","",""
"=""2406""","國碩","51472.0000","國碩二廠和國碩新豐廠","0.0616","835,000萬元",""
"=""2408""","南亞科","3456524.0000","母公司","3.0800","千顆晶粒","ISO 14001"
"=""2409""","友達","24991780.0000","全球營運據點","0.2900","產品(米平方)","ISO 14001"
"=""2412""","中華電","2170000.0000","中華電信母公司","10.3099","百萬營業額","ISO 14001"
"=""2413""","環科","17800.0000","母公司","無，無統計相關數據","","ISO 14001"
"=""2414""","精技","4900.0000","僅母公司","0.2342","佰萬營業額",""
"=""2415""","錩新","419571.0000","110年度","無，無統計相關數據","",""
"=""2417""","圓剛","7440.0000","資料涵蓋範圍為總公司","0.0020","營業額",""
"=""2419""","仲琦","47468.0000","新竹總部+海外據點(蘇州，越南)","137.1200","營業額",""
"=""2420""","新巨","18728.0000","母公司","7.0330","百萬營業額",""
"=""2421""","建準","3305000.0000","昆山廠/北海廠/高雄廠","無，無統計相關數據","",""
"=""2423""","固緯","11708.0000","母公司","無，無統計相關數據","",""
"=""2424""","隴華","無，無統計相關數據","","無，無統計相關數據","",""
"=""2425""","承啟","無，無統計相關數據","","無，無統計相關數據","",""
"=""2426""","鼎元","816450.0000","母公司","276.4670","百萬營業額",""
"=""2427""","三商電","1976.0000","母公司","6.3100","員工人數",""
"=""2428""","興勤","56870.0000","母公司金屬用水","0.0130","產品",""
"=""2429""","銘旺科","82.8820","母公司+子公司(嵩達)","0.0860","百萬營收",""
"=""2430""","燦坤","無，無統計相關數據","","無，無統計相關數據","",""
"=""2431""","聯昌","無，無統計相關數據","","無，無統計相關數據","",""
"=""2433""","互盛電","8435.0000","僅母公司","0.0060","營業額",""
"=""2434""","統懋","162041.0000","母公司","1643.4178","百萬營業額",""
"=""2436""","偉詮電","0.8250","新竹廠區","0.0002","營業額單位為佰萬元",""
"=""2438""","翔耀","無，無統計相關數據","","無，無統計相關數據","",""
"=""2439""","美律","350128.6000","母公司與部分合併財務報表之子公司","50.1600","員工人數",""
"=""2440""","太空梭","無，無統計相關數據","","無，無統計相關數據","",""
"=""2441""","超豐","1201102.0000","超豐電子股份有限公司營運範圍","無，無統計相關數據","",""
"=""2442""","新美齊","2584.0000","110年新美齊新建工程建案","無，無統計相關數據","",""
"=""2444""","兆勁","26058.0000","僅母公司","0.0147","營業額","ISO 14001"
"=""2449""","京元電子","3753632.0000","母子公司","5392.0000","營業額",""
"=""2450""","神腦","8.6700","母公司新店總公司共11處辦公室","0.0200","人","ISO 14001"
"=""2451""","創見","27710.0000","僅母公司","1.9357","百萬營業額",""
"=""2453""","凌群","9025.0000","母公司","1.6180","百萬營業額",""
"=""2454""","聯發科","381812.0000","僅母公司","34.7600","母公司員工人數",""
"=""2455""","全新","74480.0000","平鎮廠、平鎮二廠","74480.0000","產品",""
"=""2457""","飛宏","425754.0000","合併財務報表之母子公司","152.0000","人",""
"=""2458""","義隆","22005.0000","義隆電子、義隆香港、義晶、義碩、義傳","32.5400","年-人","ISO 14001"
"=""2459""","敦吉","6071.0000","母公司及子公司敦吉檢測科技股份有限公司台北商辦大樓","無，未計算","",""
"=""2460""","建通","無，無統計相關數據","","無，無統計相關數據","",""
"=""2461""","光群雷","10435.0000","僅母公司","7.7300","百萬營業額",""
"=""2462""","良得電","無，無統計相關數據","","無，無統計相關數據","",""
"=""2464""","盟立","無，無統計相關數據","","無，無統計相關數據","",""
"=""2465""","麗臺","2954.0000","工廠","無，無統計相關數據","",""
"=""2466""","冠西電","10435.0000","母公司宜蘭廠","0.0177","營業額",""
"=""2467""","志聖","12231.0000","僅母公司","無，無統計相關數據","",""
"=""2468""","華經","1606.0000","包含合併財務報表之母子公司","無，無統計相關數據","",""
"=""2471""","資通","7265.0000","主要來源為辦公同仁基本之民生用水。","無，無統計相關數據","",""
"=""2472""","立隆電","2597820.0000","合併","無，無統計相關數據","",""
"=""2474""","可成","1327796.0000","僅母公司台南廠區自來水總用量","0.2313","產品",""
"=""2476""","鉅祥","無，無統計相關數據","","無，無統計相關數據","",""
"=""2477""","美隆電","5322.0000","110/01/01~110/12/31","1.6092","營業額",""
"=""2478""","大毅","261774.0000","母公司","0.0000","營業額",""
"=""2480""","敦陽科","1385.0000","新竹總公司","1385.0000","營業額",""
"=""2481""","強茂","350833.0000","岡山廠","40.3000","營業額",""
"=""2482""","連宇","6525.0000","母公司","無，無統計相關數據","",""
"=""2483""","百容","17379.0000","僅母公司","無，無統計相關數據","",""
"=""2484""","希華","72529.0000","母公司","25.7200","百萬營業額",""
"=""2485""","兆赫","47266.0000","僅母公司","0.0000","營業額",""
"=""2486""","一詮","194314.0000","110年度自來水水費通知單","0.0646","千元營業額",""
"=""2488""","漢平","7100.0000","2021年自來水公司帳單","2.8560","7100度 除以 2486百萬營收 = 2.856",""
"=""2489""","瑞軒","118547.0000","1.範疇涵蓋母公司(含總公司/越南廠)及子公司(蘇州樂軒科技有限公司) 2.所有範疇區域用水皆來自第三方供應自來水","5.3320","營業額",""
"=""2491""","吉祥全","799.0000","母子公司","無，無統計相關數據","",""
"=""2492""","華新科","2908644.0000","華新科技及子公司(東莞華科電子有限公司 / 蘇州華科電子有限公司 / 廣州匯僑電子有限公司)","0.0024","產品",""
"=""2493""","揚博","無，無統計相關數據","","無，無統計相關數據","",""
"=""2495""","普安","無，用水量部分因園區統一計量而無確切使用數據，惟本公司生產過程無製程用水需求，水資源耗用主要在民生用水部分，故內部持續向同仁進行用水習慣宣導，落實節約用水政策。","","無，用水量部分因園區統一計量而無確切使用數據，惟本公司生產過程無製程用水需求，水資源耗用主要在民生用水部分，故內部持續向同仁進行用水習慣宣導，落實節約用水政策。","",""
"=""2496""","卓越","無，無統計相關數據","","無，無統計相關數據","",""
"=""2497""","怡利電","無，無統計相關數據","","無，無統計相關數據","",""
"=""2498""","宏達電","81206.0000","範圍以HTC台灣區域為主，涵蓋所有HTC在台灣執行營運的母子公司組織範疇","0.1300","81206度/年/1720人/360日=0.13度/日","ISO 14001"
"=""2501""","國建","1351.0000","僅母公司","8.8900","員工人數","ISO 14001"
"=""2504""","國產","153970.0000","僅總公司及汐止、台中及台南廠","無，無統計相關數據","",""
"=""2505""","國揚","無，無統計相關數據","","無，無統計相關數據","",""
"=""2506""","太設","無，無統計相關數據，因資本額未達規定。","","無，無統計相關數據，因資本額未達規定。","",""
"=""2509""","全坤建","無，無統計相關數據","","無，無統計相關數據","",""
"=""2511""","太子","243.8690","母公司","2.4600","平方公尺(總樓地板面積為99,150平方公尺)",""
"=""2514""","龍邦","無，無統計相關數據","","無，無統計相關數據","",""
"=""2515""","中工","無，無統計相關數據","","無，無統計相關數據","",""
"=""2516""","新建","無，無統計相關數據","","無，無統計相關數據","",""
"=""2520""","冠德","1324.0000","冠德大樓用水量","無，無統計相關數據","",""
"=""2524""","京城","無，無統計相關數據","","無，無統計相關數據","",""
"=""2527""","宏璟","無，無統計相關數據","","無，無統計相關數據","",""
"=""2528""","皇普","無，無統計相關數據","","無，無統計相關數據","",""
"=""2530""","華建","564.4500","母公司","0.4200","以用水量/面積計算",""
"=""2534""","宏盛","無，無統計相關數據","","無，無統計相關數據","",""
"=""2535""","達欣工","2203.0000","母公司營運總部","0.1487","營業額( /百萬 )",""
"=""2536""","宏普","無，無統計相關數據","","無，無統計相關數據","",""
"=""2537""","聯上發","無，無統計相關數據","","無，無統計相關數據","",""
"=""2538""","基泰","無，無統計相關數據","","無，無統計相關數據","",""
"=""2539""","櫻花建","229158.0000","母公司","0.5113","總樓地板面積㎡",""
"=""2540""","愛山林","無，無統計相關數據","","無，無統計相關數據","",""
"=""2542""","興富發","2011.0000","母公司","5.9086","營業額",""
"=""2543""","皇昌","無，無統計相關數據","","無，無統計相關數據","",""
"=""2545""","皇翔","無，尚未啟動","","無，尚未啟動","",""
"=""2546""","根基","1324.0000","冠德大樓用水量","無，無統計相關數據","",""
"=""2547""","日勝生","36864.0000","日勝生/日鼎水務/萬達通/青埔案","11.3800","日勝生: 噸/人",""
"=""2548""","華固","962.0000","僅母公司辦公室","2.8730","母公司樓地板面積(坪)",""
"=""2597""","潤弘","581735.0000","冬山廠冷卻用水","無，無統計相關數據","",""
"=""2601""","益航","1023.2200","合併財務報表之母子公司","無，無統計相關數據","",""
"=""2603""","長榮","122092.0000","海上船舶及陸上營運","無，N/A","",""
"=""2605""","新興","無，無統計相關數據","","無，無統計相關數據","",""
"=""2606""","裕民","1.5800","船舶艙底水及排泄汙水","無，無統計相關數據","","ISO 14001"
"=""2607""","榮運","無，詳年報說明","","無，無","",""
"=""2608""","嘉里大榮","172986.3739","嘉里大榮物流組織全部(母公司)","16.3700","營業額",""
"=""2609""","陽明","41613.0000","七堵總公司、基隆分公司(含基隆陽明貨櫃場)、高雄分公司(含70號碼頭)、台灣營業部、梧棲辦公室。","無，無統計相關數據","",""
"=""2610""","華航","118422.0000","2021年度用水總量","10.8700","用水總量/總員工人數","ISO 14001"
"=""2611""","志信","無，無統計相關數據","","無，無統計相關數據","",""
"=""2612""","中航","12475.0000","合併公司楊梅,台中,高雄場區及辦公室","3.5104","佰萬營業額",""
"=""2613""","中櫃","19138.0000","本公司","無，無統計相關數據","",""
"=""2614""","東森","17518.0000","僅母公司","12.7900","營收百萬元",""
"=""2615""","萬海","41530.0000","台中高雄專用碼頭與台北高雄辦公室","35.4600","噸/人，分母為台灣員工總人數",""
"=""2616""","山隆","無，無統計相關數據","","無，無統計相關數據","",""
"=""2617""","台航","無，無統計相關數據","","無，無統計相關數據","",""
"=""2618""","長榮航","134597.0000","僅母公司","0.5700","總用水/樓地板面積","ISO 14001"
"=""2630""","亞航","53252.0000","本公司廠區(松山、台中、台南(含歸仁)、屏東)所使用之用水量。","13.7072","百萬營業額",""
"=""2633""","台灣高鐵","594195.0000","車站、基地及總公司","無，詳年報說明","",""
"=""2634""","漢翔","1324793.0000","僅母公司","55.8200","百萬營業額",""
"=""2636""","台驊控股","","","","",""
"=""2637""","慧洋-KY","1543.0000","包含合併財務報表之母子公司","0.4600","用水量 / 辦公室樓地板面積(平方公尺)",""
"=""2642""","宅配通","56341.2000","台灣宅配通股份有限公司","無，無統計相關數據","",""
"=""2646""","星宇航空","","","","",""
"=""2701""","萬企","無，無統計相關數據","","無，無統計相關數據","",""
"=""2702""","華園","27461.0000","僅為母公司","43665.0000","千元營業額",""
"=""2704""","國賓","529238.0000","2021/1/1~2021/12/31以國賓大飯店為主體，包 含台北、新竹、高雄三館","0.3522","千元營業額",""
"=""2705""","六福","867560.0000","母公司之主要營運地，包含總公司及南港分公司","0.6946","營業額-千元",""
"=""2706""","第一店","無，無統計相關數據","","無，無統計相關數據","",""
"=""2707""","晶華","314798.0000","台北晶華","134.4642","百萬營業額",""
"=""2712""","遠雄來","142042.0000","母公司","0.0004","營業額",""
"=""2722""","夏都","146409.0000","僅為母公司","無，無統計相關數據","",""
"=""2723""","美食-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""2727""","王品","1981104.0000","含王品、王莆(子公司)、群品(子公司)","1981104.0000","水費單各店平均值",""
"=""2731""","雄獅","無，無統計相關數據","","無，無統計相關數據","",""
"=""2739""","寒舍","635938.0000","母公司","0.2725","仟元營業額",""
"=""2748""","雲品","268502.0000","合併財務報表母子公司","185.0583","營業額",""
"=""2753""","八方雲集","133157.0000","母公司淡水廠、西螺廠、高雄廠","33.1600","百萬營業額",""
"=""2801""","彰銀","160777.0000","母公司之國內全數營運據點","24.3200","員工人數","ISO 14001"
"=""2809""","京城銀","19719.0000","母公司總行大樓及66間分行","1.9800","度/淨營收(百萬元)",""
"=""2812""","台中銀","14358.0000","總行民權及民族大樓、南台中分行及太平員訓中心","無，無統計相關數據","",""
"=""2816""","旺旺保","10883.0000","總公司及17家分公司","98.0000","人",""
"=""2820""","華票","2184.0000","總公司與5家分公司","無，無統計相關數據","",""
"=""2832""","台產","無，僅統計總分公司用水度數、碳排放量等","","無，僅統計總分公司用水度數、碳排放量等","",""
"=""2834""","臺企銀","115560.1377","總行及國內125家分行","21.7500","員工人數","ISO 14001"
"=""2836""","高雄銀","3729.0000","母公司總行大樓","無，無統計相關數據","",""
"=""2838""","聯邦銀","86166.0000","全行各單位","無，無統計相關數據","",""
"=""2845""","遠東銀","56274.0000","母公司國內外所有據點","21.8400","人",""
"=""2849""","安泰銀","29673.0000","110年全行用水","無，無統計相關數據","",""
"=""2850""","新產","179435.0000","總公司及分公司","5.9880","服務",""
"=""2851""","中再保","3454.0000","母公司","無，無統計相關數據","",""
"=""2852""","第一保","883.0000","總公司","0.0380","人",""
"=""2855""","統一證","12198.2600","總部大樓","18.6500","人均",""
"=""2867""","三商壽","145100.0000","全公司","1.0100","營業額(百萬元)",""
"=""2880""","華南金","304211.3200","本集團國內全數營運據點(含總部)","29.3100","員工總數",""
"=""2881""","富邦金","437978.0000","富邦金控、富邦人壽、台北富邦銀行、富邦產物及富邦證券。","12.2500","人 (員工)","ISO 14001"
"=""2882""","國泰金","596154.0000","包含集團(金控、人壽、銀行、產險、證券、投信、投顧、創投、期貨、私募)之國內據點","12.8400","總員工數","ISO 14001"
"=""2883""","凱基金","213660.0000","包含合併報表之母子公司，員工涵蓋率99.27%","無，無統計相關數據","",""
"=""2884""","玉山金","238715.0000","100%持有合併財務報表之母子公司","4.1231","營收百萬元","ISO 14001"
"=""2885""","元大金","184150.0000","公司或包含合併財務報表之母子公司之台灣營運範疇","0.6300","樓地板面積","ISO 14001"
"=""2886""","兆豐金","187920.0000","包含合併財務報表母子公司之國內所有據點","22.1200","國內員工人數","ISO 14001"
"=""2887""","台新金","124582.0000","以台新金控及台新銀行用水量推估至全金控","11.1900","員工人數","ISO 14001"
"=""2888""","新光金","349461.0000","100%包含合併財務報表之母子公司","21.6500","人均用水量","ISO 14001"
"=""2889""","國票金","無，目前正委請顧問進行盤查","","無，目前正委請顧問進行盤查","",""
"=""2890""","永豐金","171054.0000","金控及旗下5家主要子公司（永豐銀行、永豐金證券、永豐投信、永豐金租賃、永豐創業投資） 之國內所有營運據點納入統計範疇。","20.2527","每人","ISO 14001"
"=""2891""","中信金","341939.0000","為與溫室氣體查證邏輯一致， 2020年起，用水量盤查範疇扣除中國信託金融園區之商家用水量。","25.0800","人",""
"=""2892""","第一金","201230.0000","涵蓋範圍為第一銀行國內全數營運據點及證券、投信、人壽、AMC之總公司。","23.9000","201,230公噸/8,414人=23.9公噸","ISO 14001"
"=""2897""","王道銀行","15663.0000","母公司全台營運據點","17.9000","員工人數","ISO 14001"
"=""2901""","欣欣","58965.0000","包含合併財務報表之母子公司","無，無統計相關數據","",""
"=""2903""","遠百","1569654.0000","僅母公司","3346.8000","億元營業額","ISO 14001"
"=""2904""","匯僑","29126.0000","臺中港西二及西五槽區","無，無統計相關數據","",""
"=""2905""","三商","無，無統計相關數據","","無，無統計相關數據","",""
"=""2906""","高林","無，無統計相關數據","","無，無統計相關數據","",""
"=""2908""","特力","53.9000","特力(股)總部、楊梅物流中心及台中辦公室","0.0020","百萬營收",""
"=""2910""","統領","無，無統計相關數據","","無，無統計相關數據","",""
"=""2911""","麗嬰房","無，無統計相關數據","","無，無統計相關數據","",""
"=""2912""","統一超","2483875.0000","實際統計包含總部大樓及4,071家門市、推估值包含9 處區辦公室及2,308家門市。","368.0000","門市數","ISO 14001"
"=""2913""","農林","無，無統計相關數據","","無，無統計相關數據","",""
"=""2915""","潤泰全","3809.0000","母公司","無，無統計相關數據","",""
"=""2923""","鼎固-KY","991869.0000","包含上海打浦橋日月光中心、上海嘉定日月光中心、上海御華山以及重慶日月光中心，共計四據點。","20.6500","新台幣十萬元營收",""
"=""2929""","淘帝-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""2939""","永邑-KY","無，無統計相關數據","","無，無統計相關數據","",""
"=""2945""","三商家購","24000.0000","依每月水費單據其數據顯示之度數估算。","無，無統計相關數據","",""
"=""3002""","歐格","1473.0000","僅母公司","5.7200","營業額",""
"=""3003""","健和興","66830.0000","母公司","0.0000","產品",""
"=""3004""","豐達科","79877.0000","母公司","61.5400","單位:百萬營業額",""
"=""3005""","神基","783480.0000","涵蓋神基投控暨其八家子公司","730.0000","營業額","ISO 14001"
"=""3006""","晶豪科","17820.0000","母公司","0.7474","用水量/百萬營業額(個體)",""
"=""3008""","大立光","904925.0000","母公司","無，無統計相關數據","",""
"=""3010""","華立","3565.0000","僅母公司(台北、台中、高雄辦公地點)","無，無統計相關數據","",""
"=""3011""","今皓","無，尚在評估中","","無，尚在評估中","",""
"=""3013""","晟銘電","567655.0000","包含合併財務報表之母子公司","無，無統計相關數據","",""
"=""3014""","聯陽","12914.0000","母公司","無，無統計相關數據","",""
"=""3015""","全漢","194020.0000","母公司與部分子公司","35.2700","母公司與部分子公司的員工人數",""
"=""3016""","嘉晶","522316.0000","110/1/1~110/12/31","5.5200","產品",""
"=""3017""","奇鋐","1525496.4600","台灣高雄、深圳奇宏/興奇宏、東莞明鑫/興奇宏、成都奇宏、武漢奇宏/興奇宏、嘉善萬順達","32.2200","總用水量/營業額=1,525,496公噸/47,332 TWD’M = 32.22",""
"=""3018""","隆銘綠能","無，無統計相關數據","","無，無統計相關數據","",""
"=""3019""","亞光","90054.0000","僅母公司潭子廠區","無，無統計相關數據","",""
"=""3021""","鴻名","無，無統計相關數據","","無，無統計相關數據","",""
"=""3022""","威強電","無，無統計相關數據","","無，無統計相關數據","",""
"=""3023""","信邦","56936.2000","集團100%持股之11個據點","2.2300","56,936.2(噸)/25,530.706 (新台幣百萬元,2021年營收)= 2.23",""
"=""3024""","憶聲","4797.0000","總公司辦公室","無，無統計相關數據","",""
"=""3025""","星通","無，無統計相關數據","","無，無統計相關數據","",""
"=""3026""","禾伸堂","255445.0000","母公司","12.9600","產品",""
"=""3027""","盛達","無，預計9月底申報","","無，預計9月底申報","",""
"=""3028""","增你強","6826.0000","母公司","0.1624","營業額",""
"=""3029""","零壹","無，無統計相關數據","","無，無統計相關數據","",""
"=""3030""","德律","13395.0000","母公司","0.0630","產品",""
"=""3031""","佰鴻","190955.0000","含合併報表母子公司","124.6400","佰萬營收",""
"=""3032""","偉訓","無，無統計相關數據","","無，無統計相關數據","",""
"=""3033""","威健","4629.0000","威健在台灣營運據點為主（臺北內湖總公司、內湖倉儲中心、桃園倉儲中心及中南部聯絡處(新竹、臺中及高雄)）","0.4100","公噸/樓地板面積m2",""
"=""3034""","聯詠","98113.0000","母公司新竹廠區","0.7249","新臺幣百萬營業額",""
"=""3035""","智原","17259.0000","母公司","2.5700","營業額",""
"=""3036""","文曄","11138.0000","包含合併財務報表母子公司之台灣各營運據點","0.4200","樓地板面積(平方公尺)",""
"=""3037""","欣興","20039114.0000","母公司及部份子公司","192.0000","百萬元營業額","ISO 14001"
"=""3038""","全台","301220.0000","母公司及東莞廠","25.3700","KPCS",""
"=""3040""","遠見","0.5000","母公司","無，無工廠，無生產行為","",""
"=""3041""","揚智","1598.0000","僅母公司","0.0243","產品",""
"=""3042""","晶技","230033.0000","2021年自來水總用量","19.6929","以個體營收計算，單位 : 新臺幣佰萬元",""
"=""3043""","科風","無，無統計相關數據","","無，無統計相關數據","",""
"=""3044""","健鼎","19015049.0000","健鼎-平鎮/無錫/湖北廠區","0.3018","營業額","ISO 14001"
"=""3045""","台灣大","278827.0000","2021","0.0000","營業額","ISO 14001"
"=""3046""","建碁","435.7400","包含合併財務報表之母子公司","0.1700","百萬營業額",""
"=""3047""","訊舟","9037.0000","僅母公司","2.4864","百萬營業額",""
"=""3048""","益登","3109.0000","僅母公司(台灣區)","0.0295","百萬營業額",""
"=""3049""","精金","1010090.0000","110年度自來水費水費單","0.2226","營業額",""
"=""3050""","鈺德","37887.0000","僅母公司","無，無統計相關數據","",""
"=""3051""","力特","502567.4100","母公司","157.4400","營業額","ISO 14001"
"=""3052""","夆典","無，無統計相關數據","","無，無統計相關數據","",""
"=""3054""","立萬利","無，本公司產品皆委由加工廠製造生產，辦公室用水量由園區內廠戶依使用坪數平均分攤，故無相關資訊。","","無，本公司產品皆委由加工廠製造生產，辦公室用水量由園區內廠戶依使用坪數平均分攤，故無相關資訊。","",""
"=""3055""","蔚華科","無，無統計相關數據","","無，無統計相關數據","",""
"=""3056""","富華新","無，無統計相關數據","","無，無統計相關數據","",""
"=""3057""","喬鼎","4848.0000","母公司","6.3811","百萬營業額",""
"=""3058""","立德","無，無統計相關數據","","無，無統計相關數據","",""
"=""3059""","華晶科","20.0000","母公司","無，無統計相關數據","",""
"=""3060""","銘異","87931.0000","僅桃園市龜山區母公司範疇","無，無統計相關數據","",""
"=""3062""","建漢","5069.0000","110/1~110/12","0.0000","營業額",""
"=""3090""","日電貿","0.1490","台北自來水事業處電子繳費憑證","無，無統計相關數據","",""
"=""3092""","鴻碩","112740.0000","合併財務報表之重要子公司-鴻碩蘇州公司","0.0375","營業額","ISO 9001"
"=""3094""","聯傑","5375.0000","母公司","19.6100","營業額",""
"=""3130""","一零四","7112.0000","包含合併財務報表之母子公司全台營運據點","8.7100","員工人數",""
"=""3138""","耀登","2337.0000","僅母公司","0.0000","營業額",""
"=""3149""","正達","167852.8000","母公司","69.0468","167,852.8公噸/個體營收淨額2,431百萬元",""
"=""3164""","景岳","21971.0000","110年	用水量(度) 1月	1539 2月	1091 3月	1684 4月	1631 5月	1923 6月	1936 7月	2119 8月	2176 9月	1939 10月	2052 11月	2039 12月	1842","585.2185","產品",""
"=""3167""","大量","195560.0000","母公司","無，無統計相關數據","",""
"=""3189""","景碩","5825706.0000","母公司","1.5590","產品",""
"=""3209""","全科","1504.0000","僅包括母公司台灣總部","3.1900","營業額",""
"=""3229""","晟鈦","97882.0000","本公司110年自用水度數登記","無，無統計相關數據","",""
"=""3231""","緯創","4090196.4000","母公司(內湖總部/汐止辦公區/新竹廠)及全球主要營運與製造廠區(昆山廠、泰州廠、中山廠、重慶廠、成都廠、墨西哥廠、捷克廠及昆山光電廠)","5.2000","單位:千噸取水量/十億元新台幣(以緯創全球主要製造廠區用水量/ 廠區營收做為計算基準)","ISO 14001"
"=""3257""","虹冠電","1418.0000","110年台水帳單資料","109.0000","營業額",""
"=""3266""","昇陽","無，無統計相關數據","","無，無統計相關數據","",""
"=""3296""","勝德","無，無統計相關數據","","無，無統計相關數據","",""
"=""3305""","昇貿","28543.0000","110/1/1~110/12/31","無，無統計相關數據","",""
"=""3308""","聯德","無，無統計相關數據","","無，無統計相關數據","",""
"=""3311""","閎暉","無，無統計相關數據","","無，無統計相關數據","",""
"=""3312""","弘憶股","無，無統計相關數據","","無，無統計相關數據","",""
"=""3321""","同泰","380526.0000","母公司","2.6100","產品",""
"=""3338""","泰碩","無，無統計相關數據","","無，無統計相關數據","",""
"=""3346""","麗清","5150.0000","2021/01~2021~12","無，無統計相關數據","",""
"=""3356""","奇偶","無，無統計相關數據","","無，無統計相關數據","",""
"=""3376""","新日興","41230.0000","僅母公司","無，無統計相關數據","",""
"=""3380""","明泰","43780.0000","2021/1/1~2021/12/31","0.0255","營業額",""
"=""3406""","玉晶光","43681.0000","台中市大雅區科雅東路1號","無，無統計相關數據","",""
"=""3413""","京鼎","無，預計9月出具","","無，預計9月出具","",""
"=""3416""","融程電","517.0000","自來水水費單","無，無統計相關數據","",""
"=""3419""","譁裕","2280.0000","僅母公司","無，無統計相關數據","",""
"=""3432""","台端","無，無統計相關數據","","無，無統計相關數據","",""
"=""3437""","榮創","63117.0000","榮創能源科技股份有限公司","無，無統計相關數據","",""
"=""3443""","創意","16161.0000","本次報告書邊界為創意電子台灣地區，涵蓋新竹總部、新竹分部，未納入海外子公司","0.1070","營業額",""
"=""3450""","聯鈞","47207.0000","母公司","無，無統計相關數據","",""
"=""3454""","晶睿","11155.0000","中和192+168","無，無統計相關數據","",""
"=""3481""","群創","21307558.9200","群創光電(母公司)及子公司：寧波群志光電、寧波群輝光電、佛山群志光電、 南京群志光電、 上海群志光電","60.8700","用水量(噸)/營業額(百萬元)","ISO 14001"
"=""3494""","誠研","15475.0000","包含合併財務報表之母子公司","無，與當年度銷售產品組合有關","",""
"=""3501""","維熹","無，無統計相關數據","","無，無統計相關數據","",""
"=""3504""","揚明光","82784.0000","僅母公司","無，無統計相關數據","",""
"=""3515""","華擎","4726.0000","母公司","15.0000","員工人均用水量",""
"=""3518""","柏騰","無，無統計相關數據","","無，無統計相關數據","",""
"=""3528""","安馳","無，無統計相關數據","","無，無統計相關數據","",""
"=""3530""","晶相光","無，無統計相關數據","","無，無統計相關數據","",""
"=""3532""","台勝科","2998400.0000","","0.2460","產品",""
"=""3533""","嘉澤","540927.0000","本公司及廣州、蘇州、中山子公司","無，無統計相關數據","",""
"=""3535""","晶彩科","5153.0000","僅母公司","3.6630","以百萬元營業額為單位",""
"=""3543""","州巧","無，無統計相關數據","","無，無統計相關數據","",""
"=""3545""","敦泰","8.7500","台灣新竹總部","0.0200","員工人數",""
"=""3550""","聯穎","無，無統計相關數據","","無，無統計相關數據","",""
"=""3557""","嘉威","410773.0000","母公司及大陸子公司","0.0770","營業額",""
"=""3563""","牧德","84712.0000","牧德科技股份有限公司","無，無統計相關數據","",""
"=""3576""","聯合再生","682595.0000","母公司(竹科廠、竹南廠及台南廠)","56.7500","百萬營業額",""
