"報告年度:2022","議題:溫室氣體排放"
"公司代號","公司名稱","範疇一-排放量(噸CO2e)","範疇一-資料邊界","範疇一-取得驗證","範疇二-排放量(噸CO2e)","範疇二-資料邊界","範疇二-取得驗證","範疇三-排放量(噸CO2e)","範疇三-資料邊界","範疇三-取得驗證","溫室氣體排放密集度-密集度(噸CO2e/單位)","溫室氣體排放密集度-單位"
"=""2250""","IKKA-KY","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2301""","光寶科","7278.2500","包含母公司與合併財報之部分子公司 光寶科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、光寶電源科技(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、光寶智能汽車(廣州)有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED","ISO 9001","178010.3500","包含母公司與合併財報之部分子公司 光寶科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、光寶電源科技(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、光寶智能汽車(廣州)有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED","ISO 9001","10869212.3700","包含母公司與合併財報之部分子公司 光寶科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、光寶電源科技(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、光寶智能汽車(廣州)有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED","ISO 9001","1.2400","百萬元營業額"
"=""2302""","麗正","25.3729","母子公司","","599.7316","母子公司","","無，無法確實有效收集本範疇數據","","","2.0035","產品"
"=""2303""","聯電","591781.0000","母公司(含新加坡分公司)","ISO 9001","1373914.0000","母公司(含新加坡分公司)","ISO 9001","2064284.0000","母公司(含新加坡分公司)","ISO 9001","7.9100","wafer-m2"
"=""2305""","全友","3.4470","僅母公司","","653.0000","僅母公司","","無，無統計相關數據","","","5.2597","百萬元營業額"
"=""2308""","台達電","38807.0000","全球據點","ISO 9001","148838.0000","全球據點","ISO 9001","6963291.6800","全球據點","ISO 14001","17.0800","產值(單位：百萬美金)"
"=""2312""","金寶","15499.6099","合併財務報表之母子公司","ISO 9001","232616.0818","合併財務報表之母子公司","ISO 9001","497371.6928","合併財務報表之母子公司","ISO 9001","1.3600","百萬元營業額"
"=""2313""","華通","3766.0000","母公司","ISO 9001","127775.0000","母公司","ISO 9001","55651.0000","母公司","ISO 9001","11.0600","百萬元營業額"
"=""2314""","台揚","136.0000","僅台揚科技","","4395.0000","僅台揚科技","","無，無統計相關數據","","","1.0107","百萬元營業額"
"=""2316""","楠梓電","2470.7715","僅母公司","ISO 9001","45647.5957","僅母公司","ISO 9001","無，無統計相關數據","","","0.0280","產品"
"=""2317""","鴻海","222295.0000","包含合併財務報表母子公司","ISO 9001","5515849.0000","包含合併財務報表母子公司","ISO 9001","無，因集團營業範疇龐大，故2022年度溫室氣體範疇三仍在盤查中，預計於2023年前揭露。","","","0.8700","百萬元營業額"
"=""2321""","東訊","無，無統計相關數據","","","932.1510","111.01~111.12台電用電資料","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2323""","中環","0.0000","僅母公司生產廠區","","122634.0000","僅母公司生產廠區之外購電力","","無，無統計相關數據","","","0.0361","千元營業額"
"=""2324""","仁寶","20437.0441","母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京）及重慶翊寶智慧電子裝置","ISO 9001","156559.2429","母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技(昆山)、吉寶通訊（南京）及重慶翊寶智慧電子裝置","ISO 9001","15157.0264","重慶翊寶智慧電子裝置有限公司員工宿舍溫室氣體排放","ISO 9001","0.1650","百萬元營業額"
"=""2327""","國巨","3753.7600","母公司","ISO 9001","113902.5900","母公司","ISO 9001","41747.3600","母公司","ISO 9001","42.8900","百萬營業額"
"=""2328""","廣宇","4.2096","母公司","","65.0069","母公司","","無，無統計相關數據","","","0.0059","百萬元營業額"
"=""2329""","華泰","310.6442","母公司(2022.01.01~2022.12.31)","ISO 9001","84899.5712","母公司(2022.01.01~2022.12.31)","ISO 9001","2753985.0670","母公司(2022.01.01~2022.12.31)","ISO 9001","5.4819","百萬元營業額"
"=""2330""","台積電","2018789.0000","台灣廠區及部分子公司","ISO 9001","9539765.0000","台灣廠區及部分子公司","ISO 9001","7502136.0000","僅母公司","ISO 9001","5.1230","百萬元營業額"
"=""2331""","精英","54.0000","溫室氣體排放涵蓋台灣母公司總部大樓。","ISO 9001","1089.0000","溫室氣體排放涵蓋台灣母公司總部大樓。","ISO 9001","764.0000","溫室氣體排放類別3~5涵蓋台灣母公司總部大樓。","ISO 9001","0.0365","百萬元營業額"
"=""2332""","友訊","119.8740","僅母公司大樓","ISO 9001","1409.7829","僅母公司大樓","ISO 9001","523159.0031","僅母公司大樓","ISO 9001","2.8242","員工人數"
"=""2337""","旺宏","135818.8572","僅母公司","ISO 9001","254129.1632","僅母公司","ISO 9001","264671.7807","僅母公司","ISO 9001","0.0090","千元營業額"
"=""2338""","光罩","304.8200","僅母公司","","15654.6500","僅母公司","","無，無統計相關數據","","","0.7800","公斤"
"=""2340""","台亞","2190.4120","創新廠及力行廠","ISO 9001","32788.9656","創新廠及力行廠","ISO 9001","6253.3114","創新廠及力行廠","ISO 9001","9.1000","百萬元營業額"
"=""2342""","茂矽","148898.8410","僅母公司","ISO 9001","49789.4826","僅母公司","ISO 9001","無，無統計相關數據","","","18.4400","產品"
"=""2344""","華邦電","44373.0000","母公司","ISO 9001","353523.0000","母公司","ISO 9001","443204.0000","母公司","ISO 9001","0.0132","layer(層-晶圓光罩)"
"=""2345""","智邦","809.0000","母公司。","ISO 9001","14439.0000","母公司。","ISO 9001","5191.0000","母公司，說明如下： 新竹一廠及竹南廠(3.1上游貨物運輸/3.3員工通勤/3.5商務旅/4.1外購電力及氮氣/4.3一般廢棄物處理及4.5自來水) 新竹二廠(3.3員工通勤/4.1外購電力/4.3一般廢棄物處理及4.5自來水)","ISO 9001","0.1980","百萬元營業額"
"=""2347""","聯強","1834.0000","僅母公司","","2250.0000","僅母公司","","無，導入ISO14064標準盤查中","","","0.0013","服務"
"=""2348""","海悅","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2349""","錸德","67.9000","僅母公司","","15721.3865","僅母公司","","無，無統計相關數據","","","0.0058","營業額單位:千元"
"=""2351""","順德","1932.7592","母公司","","27605.7916","母公司","","13850.4631","母公司","","0.0047","千元營業額"
"=""2352""","佳世達","4804.9681","佳世達台灣/蘇州/越南廠區","ISO 9001","68964.8285","佳世達台灣/蘇州/越南廠區","ISO 9001","1801.8563","台灣廠區：商務旅行、員工通勤(交通車)、能資源上游、運營中產生的廢物 蘇州廠區：商務旅行、員工通勤(交通車) 越南廠區：商務旅行、員工通勤(交通車)","ISO 9001","16.4987","百萬元營業額"
"=""2353""","宏碁","2705.3030","含合併財務報表之母子公司","ISO 9001","8784.4974","含合併財務報表之母子公司","ISO 9001","6694194.5790","含合併財務報表之母子公司","ISO 9001","0.0417","百萬元營業額"
"=""2354""","鴻準","6025.0000","鴻準集團主要廠區","","247970.0000","鴻準集團主要廠區","","無，無統計相關數據","","","2.8000","百萬元營業額"
"=""2355""","敬鵬","3605.6600","母公司+ 子公司 敬鵬(常熟)電子有限公司","","170323.6300","母公司+ 子公司 敬鵬(常熟)電子有限公司","","11291.3700","母公司+ 子公司 敬鵬(常熟)電子有限公司","","11.2450","百萬元營業額"
"=""2356""","英業達","7344.3800","*英業達股份有限公司Inventec Corporation(士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(TRDC/ITO)、台北辦公室Taipei office、台南建物Tainan building、日本東京辦公室(IJC)) *英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC) *英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT) *上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT) *Inventec (Czech) S.R.O. (ICZ) *IEC Technologies, S . de R. L. de C. V. (IMX)","ISO 9001","93424.5500","*英業達股份有限公司Inventec Corporation(士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(TRDC/ITO)、台北辦公室Taipei office、台南建物Tainan building、日本東京辦公室(IJC)) *英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC) *英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT) *上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT) *Inventec (Czech) S.R.O. (ICZ) *IEC Technologies, S . de R. L. de C. V. (IMX)","ISO 9001","879218.8300","*英業達股份有限公司Inventec Corporation(士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(TRDC/ITO)、台北辦公室Taipei office) *英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC) *英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT) *上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT) *Inventec (Czech) S.R.O. (ICZ) *IEC Technologies, S . de R. L. de C. V. (IMX)","ISO 9001","100768.9300","(千億營業額)英業達 2022 年範疇一(類別1)和範疇二(類別2)溫室氣體排放密集度為 22,276公噸CO2e /千億元"
"=""2357""","華碩","1388.3500","依當年度合併財務報表所列有關華碩產品全球營運據點之母子公司，並採用營運控制權法排除不具控制權之子公司","ISO 9001","17346.2300","依當年度合併財務報表所列有關華碩產品全球營運據點之母子公司，並採用營運控制權法排除不具控制權之子公司","ISO 9001","2502095.1400","「上游運輸與配銷」：63,961.95噸CO2e。依當年度合併財務報表所列有關華碩產品全球營運據點之母子公司，並採用營運控制權法排除不具控制權之子公司。 「產品下游運輸與配銷」：58,345.42噸CO2e。依當年度合併財務報表所列有關華碩產品全球營運據點之母子公司，並採用營運控制權法排除不具控制權之子公司。 「商務旅行」：1,361.32噸CO2e。僅母公司。 「員工通勤」：6,308.83噸CO2e。僅母公司。 「採購產品與服務(供應鏈)」：1,062,862.96噸CO2e。依當年度合併財務報表所列有關華碩產品全球營運據點之母子公司，並採用營運控制權法排除不具控制權之子公司。 「燃料與能源相關活動」：3,672.07噸CO2e。依當年度合併財務報表所列有關華碩產品全球營運據點之母子公司，並採用營運控制權法排除不具控制權之子公司。 「產品使用」：1,296,320.23噸CO2e。依當年度合併財務報表所列有關華碩產品全球營運據點之母子公司，並採用營運控制權法排除不具控制權之子公司。 「售出產品的最終處置」：9,262.36噸CO2e依當年度合併財務報表所列有關華碩產品全球營運據點之母子公司，並採用營運控制權法排除不具控制權之子公司。","ISO 9001","187.6100","百萬元營業額"
"=""2359""","所羅門","196.9632","母公司及實質營運之子公司","ISO 9001","5602.8535","母公司及實質營運之子公司","ISO 9001","5799.8170","母公司及實質營運之子公司","ISO 9001","1.1047","百萬元營業額"
"=""2360""","致茂","398.7031","母公司及台灣地區分公司","ISO 9001","8607.3331","母公司及台灣地區分公司","ISO 9001","1692.7782","母公司及台灣地區分公司","ISO 9001","0.0004","千元營業額"
"=""2362""","藍天","130.5800","台灣母公司總部及主要製造廠昆山廠","ISO 14001","3621.7200","台灣母公司總部及主要製造廠昆山廠","ISO 14001","無，無統計相關數據","","","0.1995","百萬元營業額"
"=""2363""","矽統","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2364""","倫飛","653.0160","母公司","","無，無統計相關數據","","","無，無統計相關數據","","","0.0007","千元營業額"
"=""2365""","昆盈","36.6284","台北總公司及東莞廠","","722.5005","台北總公司及東莞廠","","無，無統計相關數據","","","0.0655","平方公尺"
"=""2367""","燿華","4235.2500","僅母公司","ISO 9001","111487.1200","僅母公司","ISO 9001","33568.3100","僅母公司","ISO 9001","0.0400","產品"
"=""2368""","金像電","39330.2180","合併財務報表之母子公司","ISO 9001","269105.9900","合併財務報表之母子公司","ISO 9001","24904.3430","合併財務報表之母子公司","ISO 9001","12.7770","百萬元營業額"
"=""2369""","菱生","1750.4530","僅母公司","ISO 9001","63035.3240","僅母公司","ISO 9001","11581.4690","僅母公司","ISO 9001","17.4693","產品"
"=""2371""","大同","31998.8200","僅母公司","","18793.0300","僅母公司","","無，非屬應揭露項目，暫不揭露。","","","50791.8500","16,792,440千元營業額"
"=""2373""","震旦行","1051.8700","僅母公司","","1481.9500","僅母公司","","無，無統計相關數據","","","0.0008","千元營業額"
"=""2374""","佳能","106.3680","母公司","","1002.1440","母公司","","無，無統計相關數據","","","0.2097","百萬元營業額"
"=""2375""","凱美","1192.1120","子公司","","8498.0350","子公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2376""","技嘉","627.8059","技嘉科技營運總部、桃園南平廠、中國東莞廠和中國寧波廠，及子公司百事益國際、盈嘉科技、技宸、智力精密工業等所在的臺北矽谷園區辦公室","ISO 9001","27283.6386","技嘉科技營運總部、桃園南平廠、中國東莞廠和中國寧波廠，及子公司百事益國際、盈嘉科技、技宸、智力精密工業等所在的臺北矽谷園區辦公室","ISO 9001","6593183.1485","依據廠區及產品別而有不同的統計邊界","ISO 9001","0.2602","百萬元營業額"
"=""2377""","微星","1097.0000","台灣及大陸廠區","ISO 14001","45627.0000","台灣及大陸廠區","ISO 14001","4903.0000","僅盤查總部員工之國外商務旅行、微星台北之下游貨物運輸和配送、台灣地區廠區廢棄物處置、微星台北餐廳外包商液化石油氣使用以及微盟廠外租空間能源間接。","ISO 14001","0.2580","百萬元營業額"
"=""2379""","瑞昱","808.4860","僅包含瑞昱台灣母公司營運總部","ISO 9001","25654.3870","僅包含瑞昱台灣母公司營運總部","ISO 9001","無，111年範疇三排放量,尚在盤查統計中。","","","0.2367","百萬元營業額"
"=""2380""","虹光","46.9809","母公司","","852.8373","僅母公司","","無，無統計相關數據","","","0.5017","百萬元營業額"
"=""2382""","廣達","32418.9400","廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB","ISO 9001","284852.6900","廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB","ISO 9001","32101.0000","廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB","ISO 9001","0.0585","百萬元營業額"
"=""2383""","台光電","58996.2173","合併財務報表之母子公司(不含美國子公司)","ISO 9001","97958.2179","合併財務報表之母子公司(不含美國子公司)","ISO 9001","5717.7694","合併財務報表之母子公司(不含美國子公司)","ISO 9001","0.0041","千元營業額"
"=""2385""","群光","7555.2100","群光電子(含海外各廠區，不含子公司)","ISO 9001","67148.0500","群光電子(含海外各廠區，不含子公司)","ISO 9001","862807.2200","群光電子(含海外各廠區，不含子公司)","ISO 9001","1.0400","百萬元營業額"
"=""2387""","精元","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2388""","威盛","0.0400","威盛台北總公司","ISO 14001","1132.5600","威盛台北總公司","ISO 14001","2.2500","威盛台北總公司","ISO 14001","0.1220","百萬元營業額"
"=""2390""","云辰","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2392""","正崴","10563.0000","母公司及主要生產基地之子公司11個廠區","ISO 9001","196427.0000","母公司及主要生產基地之子公司11個廠區","ISO 9001","1046296.0000","母公司及主要生產基地之子公司11個廠區","ISO 9001","無，無統計相關數據",""
"=""2393""","億光","480.8000","總部、苗栗苑裡廠、苗栗銅鑼廠","","27331.1000","億光電子台灣地區","","無，無統計相關數據","","","6.1000","產品"
"=""2395""","研華","3470.4132","邊界範疇包含研華台灣(瑞光、陽光、林口、東湖)及中國昆山廠區","ISO 9001","29907.9202","邊界範疇包含研華台灣(瑞光、陽光、林口、東湖)及中國昆山廠區","ISO 9001","1138767.4753","邊界範疇包含研華台灣(瑞光、陽光、林口、東湖)及中國昆山廠區，部分項目包含全球","ISO 9001","0.4855","百萬元營業額"
"=""2397""","友通","164.8466","友通資訊之組織邊界設定以營運控制權為主，其盤查組織邊界之溫室氣體排放量百分之百歸屬本公司，友通包括汐止遠雄總部、新店辦公室及桃園工廠。","ISO 9001","3321.9431","友通資訊之組織邊界設定以營運控制權為主，其盤查組織邊界之溫室氣體排放量百分之百歸屬本公司，友通包括汐止遠雄總部、新店辦公室及桃園工廠。","ISO 9001","14379.8895","友通資訊之組織邊界設定以營運控制權為主，其盤查組織邊界之溫室氣體排放量百分之百歸屬本公司，友通包括汐止遠雄總部、新店辦公室及桃園工廠。本年度新增盤查員工通勤碳排放量，於111年12月9日進行線上問卷調查(https://forms.gle/ixnBFDw5hDvq3igm6)，本問卷對象為全體台籍同仁(外籍同仁皆為公司住宿)，並採實名制以確認全體同仁皆已完成填答。問卷調查內容包括交通車、高鐵、台鐵、捷運、公車、計程車、自駕小客車、機車、腳踏車及步行等交通方式，並請同仁提供上下車站點或移動距離(以Google Map進行估算)，現僅針對環保署產品碳足跡系統公告項目計算之。","ISO 9001","無，無統計相關數據",""
"=""2399""","映泰","無，3","","","無，僅有辦公處所，無生產製造且法令無規範。","","","無，僅有辦公處所，無生產製造且法令無規範。","","","無，僅有辦公處所，無生產製造且法令無規範。",""
"=""2401""","凌陽","2.4139","僅母公司","","3631.8150","僅母公司","","無，無統計相關數據","","","0.5419","百萬元營業額"
"=""2402""","毅嘉","485.0875","母公司","ISO 9001","10109.6076","母公司","ISO 9001","1138.8560","母公司","ISO 9001","2.0644","百萬元營業額"
"=""2404""","漢唐","無，無統計相關數據","","","589.1600","母公司","","無，無統計相關數據","","","0.0120","百萬元營業額"
"=""2405""","輔信","13.8000","母公司","","387.8000","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2406""","國碩","36.2000","國碩二廠和國碩新豐廠","","3703.6400","國碩二廠和國碩新豐廠","","無，無統計相關數據","","","0.0040","千元營業額"
"=""2408""","南亞科","59787.7987","母公司","ISO 9001","381165.8869","母公司","ISO 9001","740675.3170","母公司","ISO 9001","0.4050","千顆晶粒"
"=""2409""","友達","69745.3500","全球營運據點","ISO 9001","2396609.6900","全球營運據點","ISO 9001","1004485.8500","全球營運據點及友達晶材","ISO 9001","0.0510","產品"
"=""2412""","中華電","19185.3200","母公司","ISO 9001","694912.7200","母公司","ISO 9001","1828060.8800","母公司","ISO 9001","3.3000","百萬元營業額"
"=""2413""","環科","218.8357","母公司","","3463.7390","母公司","","730.6873","母公司","","0.9129","百萬元營業額"
"=""2414""","精技","無，無統計相關數據","","","733.7790","僅母公司","","無，無統計相關數據","","","0.0332","百萬元營業額"
"=""2415""","錩新","2913.2600","母公司+錩新科技(越南)公司","","12843.5600","母公司+錩新科技(越南)公司","","494.9200","母公司+錩新科技(越南)公司","","40324.2100","百萬元營業額"
"=""2417""","圓剛","26.9200","母公司","ISO 9001","512.2200","母公司","ISO 9001","6084.0000","母公司","ISO 9001","0.2420","噸CO2e/坪"
"=""2419""","仲琦","191.4278","新竹總部+海外駐點(越南工廠)","ISO 9001","8878.6737","新竹總部+海外駐點(越南工廠)","ISO 9001","28410.3545","新竹總部+海外駐點(越南工廠)","ISO 9001","21.8867","百萬元營業額"
"=""2420""","新巨","326.0000","包含合併財務報表之母子公司","","4480.0000","包含合併財務報表之母子公司","","無，無統計相關數據","","","1.8200","百萬元營業額"
"=""2421""","建準","2148.6590","高雄總部及工廠、台北辦事處、昆山廣興電子有限公司、北海建準電子有限公司、北海立準電子有限公司、Sunon Electronics Philippines Corp、Sunon Inc、Sunon SAS、Sunon Electronics India Private Limited","ISO 9001","22281.1582","高雄總部及工廠、台北辦事處、昆山廣興電子有限公司、北海建準電子有限公司、北海立準電子有限公司、Sunon Electronics Philippines Corp、Sunon Inc、Sunon SAS、Sunon Electronics India Private Limited","ISO 9001","1830.3774","高雄總部及工廠、台北辦事處、昆山廣興電子有限公司、北海建準電子有限公司、北海立準電子有限公司、Sunon Electronics Philippines Corp、Sunon Inc、Sunon SAS、Sunon Electronics India Private Limited","ISO 9001","13.0200","百萬元營業額"
"=""2423""","固緯","23.9700","母公司","","1391.7100","母公司","","無，無統計相關數據","","","0.4900","百萬元營業額"
"=""2424""","隴華","72.7100","僅母公司","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2425""","承啟","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2426""","鼎元","9847.6090","僅母公司","ISO 9001","16159.3010","僅母公司","ISO 9001","3584.6050","僅母公司","ISO 9001","11.8000","百萬元營業額"
"=""2427""","三商電","無，無統計相關數據","","","269.0680","總公司及桃園倉庫","","無，無統計相關數據","","","0.8488","員工人數"
"=""2428""","興勤","1070.1080","本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司","ISO 9001","51190.4710","本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司","ISO 9001","2598.3810","本公司所有廠區及子公司元耀科技股份有限公司、興勤(常州)電子有限公司、東莞為勤電子有限公司、興勤(宜昌)電子有限公司及江西興勤電子有限公司","ISO 9001","0.0056","KPCS產品"
"=""2429""","銘旺科","56.0866","僅母公司","","1526.3500","僅母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2430""","燦坤","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2431""","聯昌","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2432""","倚天酷碁-創","0.0500","僅申報公司","ISO 9001","67.0000","僅申報公司","ISO 9001","無，部分項目併入母公司宏碁進行計算","","ISO 9001","0.0400","百萬元營業額"
"=""2433""","互盛電","253.9000","僅母公司","","255.6400","僅母公司","","無，無統計相關數據","","","0.0004","千元營業額"
"=""2434""","統懋","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2436""","偉詮電","44.0000","僅母公司","","1416.0000","僅母公司","","無，資料收集中","","","0.5300","百萬元營業額"
"=""2438""","翔耀","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2439""","美律","1283.0052","母公司與部分合併財務報表之子公司","ISO 9001","19972.4670","母公司與部分合併財務報表之子公司","ISO 9001","11756259.9153","母公司與部分合併財務報表之子公司","ISO 9001","0.6005","百萬元營業額"
"=""2440""","太空梭","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2441""","超豐","1176.2521","公義廠及頭份廠","ISO 9001","107478.1047","公義廠及頭份廠","ISO 9001","32247.4140","公義廠及頭份廠","ISO 9001","8.8338","百萬元營業額"
"=""2442""","新美齊","無，詳年報說明","","","80.2700","僅母公司","","無，詳年報說明","","","無，詳年報說明",""
"=""2444""","兆勁","無，3","","","無，正在導入ISO 14064-1制度，並進行碳盤查之資料彙整","","","無，正在導入ISO 14064-1制度，並進行碳盤查之資料彙整","","","無，正在導入ISO 14064-1制度，並進行碳盤查之資料彙整",""
"=""2449""","京元電子","6522.0000","包含合併財務報表之母子公司","ISO 9001","412522.0000","包含合併財務報表之母子公司","ISO 9001","79728.0000","包含合併財務報表之母子公司","ISO 9001","1356.0000","億元"
"=""2450""","神腦","341.7181","2022年盤查邊界，以營運控制權法，包含新店總公司共10處辦公室","ISO 14001","324.8234","2022年盤查邊界，以營運控制權法，包含新店總公司共10處辦公室","ISO 14001","164.4807","2022年盤查邊界，以營運控制權法，包含新店總公司共10處辦公室","ISO 14001","1.9153","人"
"=""2451""","創見","34.9900","僅母公司","","4087.8800","僅母公司","","無，無統計相關數據","","","0.3400","百萬元營業額"
"=""2453""","凌群","無，3","","","1107.0000","母公司","","無，無統計相關數據","","","0.1951","百萬元營業額"
"=""2454""","聯發科","6078.0000","僅母公司","ISO 14001","84243.0000","僅母公司","ISO 14001","無，無統計相關數據","","","7.3200","母公司員工人數"
"=""2455""","全新","270.7795","平鎮廠、平鎮二廠","","15290.4618","平鎮廠、平鎮二廠","","無，無統計相關數據","","","15561.2413","產品"
"=""2457""","飛宏","53.3610","母公司","","847.4850","母公司","","613.1706","母公司","","0.0640","百萬元營業額"
"=""2458""","義隆","154.9220","義隆電子(新竹.中和.台南.高雄)、義隆香港、義晶、義碩、義傳","ISO 14001","2913.4670","義隆電子(新竹.中和.台南.高雄)、義隆香港、義晶、義碩、義傳","ISO 14001","575.1620","義隆電子(新竹.中和)、義晶、義碩、義傳","ISO 14001","0.0060","每單位產品"
"=""2459""","敦吉","無，無統計相關數據","","","361.0000","母公司及子公司敦吉檢測科技股份有限公司台北商辦大樓","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2460""","建通","無，詳年報說明","","","無，詳年報說明","","","無，詳年報說明","","","無，詳年報說明",""
"=""2461""","光群雷","3.5200","僅母公司","","1628.7900","僅母公司","","無，無統計相關數據","","","0.9287","百萬元營業額"
"=""2462""","良得電","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2464""","盟立","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2465""","麗臺","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2466""","冠西電","無，無統計相關數據","","","2861.4600","母公司宜蘭廠","","無，無統計相關數據","","","0.0046","仟元營業額"
"=""2467""","志聖","443.0880","母公司","","1438.1869","母公司","","276.1775","母公司","","無，無統計相關數據",""
"=""2468""","華經","0.0000","包含合併財務報表之母子公司","","288.7260","包含合併財務報表之母子公司","","0.0000","包含合併財務報表之母子公司","","無，無統計相關數據",""
"=""2471""","資通","無，詳年報說明","","","無，詳年報說明","","","246.0000","僅母公司","","無，無統計相關數據",""
"=""2472""","立隆電","557.2000","立隆、立隆惠州、立隆蘇州","","45496.8000","立隆、立隆惠州、立隆蘇州","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2474""","可成","7830.1200","僅母公司台南廠區","","62666.8600","僅母公司台南廠區","","37.9600","僅母公司台南廠區外包交通運輸之柴油","","9.5266","百萬元營業額"
"=""2476""","鉅祥","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
