"報告年度:2021","議題:溫室氣體排放"
"公司代號","公司名稱","範疇一-排放量(噸CO2e)","範疇一-資料邊界","範疇一-取得驗證","範疇二-排放量(噸CO2e)","範疇二-資料邊界","範疇二-取得驗證","範疇三-排放量(噸CO2e)","範疇三-資料邊界","範疇三-取得驗證","溫室氣體排放密集度-密集度(噸CO2e/單位)","溫室氣體排放密集度-單位"
"=""2241""","艾姆勒","62.8600","母公司","","5753.3900","母公司","","無，無統計相關數據","","","0.0035","產品"
"=""2243""","宏旭-KY","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2247""","汎德永業","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2250""","IKKA-KY","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2301""","光寶科","10080.7100","包含母公司與合併財報之部分子公司 光寶科技股份有限公司、光林智能科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED","ISO 9001","216771.2600","包含母公司與合併財報之部分子公司 光寶科技股份有限公司、光林智能科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED","ISO 9001","13332352.9300","包含母公司與合併財報之部分子公司 光寶科技股份有限公司、光林智能科技股份有限公司、光寶電子(天津)有限公司、光寶網絡通訊(東莞)有限公司、光寶光電(常州)有限公司、光寶科技(常州)有限公司、光寶電子(東莞)有限公司、旭麗電子(東莞)有限公司、惠州市力信電子有限公司、光寶電子(廣州)有限公司、建興光電科技(北海)有限公司、敦揚(廣州)汽車電子有限公司、LITE-ON VIETNAM CO., LTD.、Lite-On Electronics (Thailand) Co., Ltd.、LITE-ON POWER ELECTRONIC INDIA PRIVATE LIMITED","ISO 9001","1.5300","百萬營收"
"=""2302""","麗正","947.1410","母子公司","","0.0180","母子公司","","0.0000","母子公司","","4.3500","產品"
"=""2303""","聯電","498907.0000","僅母公司(含新加坡分公司)","ISO 9001","1298439.0000","僅母公司(含新加坡分公司)","ISO 9001","2717754.0000","僅母公司(含新加坡分公司)","ISO 9001","7.3800","wafer-m2"
"=""2305""","全友","0.0000","母公司","","696.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2308""","台達電","17807.7100","母公司及子公司之生產廠區","ISO 9001","133207.1800","母公司及子公司之生產廠區(Market-based)","ISO 9001","651556.4800","母公司及子公司之生產廠區","ISO 9001","15.0800","產值(單位：百萬美金)"
"=""2312""","金寶","310.1700","母公司(涵蓋100%台灣營運據點)","ISO 9001","2318.9700","母公司(涵蓋100%台灣營運據點)","ISO 9001","832.0500","母公司(涵蓋100%台灣營運據點)","ISO 9001","1.9600","營業額"
"=""2313""","華通","2360.2700","母公司","ISO 9001","121549.8600","母公司","ISO 9001","無，目前尚未使用","","","9.2000","產品"
"=""2314""","台揚","5.1000","母公司","","4474.0000","母公司","","無，無統計相關數據","","","6.7800","員工人數"
"=""2316""","楠梓電","3107.2968","僅母公司","ISO 9001","56593.8632","僅母公司","ISO 9001","無，無統計相關數據","","","0.0234","產品"
"=""2317""","鴻海","237946.0000","依2021年永續報告書邊界","ISO 9001","5982836.0000","依2021年永續報告書邊界","ISO 9001","24025738.0000","依2021年永續報告書邊界，目前揭露為2020年數據，2021年數據收集中","","1.0400","百萬新台幣營業額"
"=""2321""","東訊","無，無統計相關數據","","","908.2210","110.01~110.12台電用電資料","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2323""","中環","無，3","","","72808.0000","僅母公司,外購電力","","無，無統計相關數據","","","0.0191","千元營業額"
"=""2324""","仁寶","22445.1500","母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京）、重慶翊寶智慧電子裝置","ISO 9001","220617.7400","母公司、仁寶(越南)、仁寶電腦(重慶)、仁寶電腦(成都)及仁寶視訊電子(昆山)、仁寶電子科技(昆山)、仁寶資訊工業(昆山)、仁寶信息技術(昆山)、仁寶數碼科技（昆山）、吉寶通訊（南京）、重慶翊寶智慧電子裝置","ISO 9001","27851.1500","重慶廠(CQA)盤查外租宿舍所造成的類別4間接碳排放","ISO 9001","0.2000","營業額;單位為新台幣百萬元"
"=""2327""","國巨","4489.5900","母公司","ISO 9001","120270.3900","母公司","ISO 9001","33744.4000","母公司","ISO 9001","3.1000","百萬營業額"
"=""2328""","廣宇","14.0980","母公司","","80.9167","母公司","","無，無統計相關數據","","","0.0077","百萬營業額"
"=""2329""","華泰","1364.5818","母公司","ISO 9001","82740.8744","母公司","ISO 9001","3806574.2274","母公司","ISO 9001","0.0002","營業額"
"=""2330""","台積電","2151937.0000","台灣廠區及子公司","ISO 14001","8152497.0000","台灣廠區及子公司","ISO 14001","6049256.0000","台灣廠區","ISO 14001","6.4910","百萬 營業額"
"=""2331""","精英","211.0000","室氣體排放涵蓋精英電腦股份有限公司、興英數位科技(深圳)有限公司、精英電腦(蘇州工業園區)有限公司、與精英科技(泰國)股份有限公司。","ISO 14001","28957.0000","溫室氣體排放涵蓋精英電腦股份有限公司、興英數位科技(深圳)有限公司、精英電腦(蘇州工業園區)有限公司、與精英科技(泰國)股份有限公司。","ISO 14001","無，111年進行ISO 14064-1:2018 溫室氣體盤查, 112年進行查證","","","0.0012","系統產品於組裝階段，平均每台產生0.001202 噸CO2e/  台"
"=""2332""","友訊","206.7743","僅母公司大樓","ISO 9001","1353.3939","僅母公司大樓","ISO 9001","無，無統計相關數據","","","2.5661","員工人數"
"=""2337""","旺宏","148853.6200","僅母公司","ISO 9001","256991.0941","僅母公司","ISO 9001","325464.5601","僅母公司","ISO 9001","8.0000","年度總營收(百萬元)"
"=""2338""","光罩","65.9070","僅母公司","","15466.6200","僅母公司","","無，無統計相關數據","","","0.2418","產品"
"=""2340""","台亞","3411.0000","僅母公司","","37091.0000","僅母公司","","8761.0000","僅母公司","","10.0000","佰萬元營業額"
"=""2342""","茂矽","160285.0605","僅母公司","ISO 9001","49232.4276","僅母公司","ISO 9001","無，無統計相關數據","","","0.3440","產品"
"=""2344""","華邦電","38760.0000","母公司","ISO 9001","277284.0000","母公司","ISO 9001","無，因應IAF(國際認證論壇)考量COVID-19疫情，已將ISO14064-1:2018轉版期限延長為6個月(2022/6/30)。  華邦2021年數據依ISO14064-1:2006已完成外部盤查，並取得證書。  2022年數據預計於2023年6月底前完成ISO14064-1:2018盤查，屆時會有範疇三數據。","","","0.0126","layer(層-晶圓光罩)"
"=""2345""","智邦","2593.0000","僅母公司","ISO 9001","11583.0000","僅母公司","ISO 9001","2145.0000","僅母公司，類別4(4.1/4.3/4.5)，說明如下： 新竹一廠及竹南廠(外購電力/氮氣/自來水及一般廢棄物處理) 新竹二廠(外購電力/自來水及一般廢棄物處理)","ISO 9001","0.2874","百萬元營業額"
"=""2347""","聯強","1697.0000","聯強台灣與合併財務報表之子公司通達智能運籌","","2379.0000","聯強台灣與合併財務報表之子公司通達智能運籌","","無，無統計相關數據","","","12.5700","每輛物流車"
"=""2348""","海悅","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2349""","錸德","113.1000","僅母公司","","22183.7000","僅母公司","","無，無統計相關數據","","","0.0081","營業額"
"=""2351""","順德","2087.6404","母公司","ISO 9001","28407.3836","母公司","ISO 9001","16338.3694","母公司","ISO 9001","0.0057","千元營業額"
"=""2352""","佳世達","2289.0900","佳世達台灣/蘇州/越南廠區","ISO 9001","104382.6100","佳世達台灣/蘇州/越南廠區","ISO 9001","76.3900","佳世達台灣/蘇州廠區","ISO 9001","21.9100","營業額"
"=""2353""","宏碁","4551.0000","含合併財務報表之母子公司","ISO 9001","8746.0000","含合併財務報表之母子公司","ISO 9001","2099472.0000","含合併財務報表之母子公司","ISO 9001","0.0400","百萬營業額"
"=""2354""","鴻準","4452.0000","鴻準集團主要廠區","","239252.0000","鴻準集團主要廠區","","無，無統計相關數據","","","0.0000","營業額"
"=""2355""","敬鵬","10012.1200","母公司+ 子公司 敬鵬(常熟)電子有限公司","","187433.8600","母公司+ 子公司 敬鵬(常熟)電子有限公司","","無，無統計相關數據","","","7.8100","營業額"
"=""2356""","英業達","7141.8300","英業達股份有限公司Inventec Corporation (士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(ITO))、 英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC)、 英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT)、 上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT)、 Inventec (Czech) S.R.O. (ICZ)、 IEC Technologies, S . de R. L. de C. V. (IMX)","ISO 9001","93758.4000","英業達股份有限公司Inventec Corporation (士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(ITO))、 英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC)、 英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT)、 上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT)、 Inventec (Czech) S.R.O. (ICZ)、 IEC Technologies, S . de R. L. de C. V. (IMX)","ISO 9001","664446.3700","英業達股份有限公司Inventec Corporation (士林廠 Shilin site(IET)、桃園廠 Taoyuan site(TAO)、桃園廠 Taoyuan site(ITO))、 英業達(重慶)有限公司Inventec (Chongqing) Corporation (ICC)、 英業達科技有限公司Inventec (Pudong) Technology Corporation (IPT)、 上海順詮科技有限公司SQ Technology (Shanghai) Corporation (SQT)、 Inventec (Czech) S.R.O. (ICZ)、 IEC Technologies, S . de R. L. de C. V. (IMX)","ISO 9001","100900.2400","千億營業額"
"=""2357""","華碩","93.9800","合併營收之母子公司(依據ISO14064實質性定義排除不具控制權的企業)","ISO 9001","17161.0000","合併營收之母子公司(依據ISO14064實質性定義排除不具控制權的企業)","ISO 9001","1460112.0000","商務旅行及產品下游運輸、供應鏈，產品使用","ISO 9001","0.9482","營業額"
"=""2359""","所羅門","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2360""","致茂","11548.5995","僅母公司","ISO 9001","7937.8316","僅母公司","ISO 9001","1894.5666","僅母公司","ISO 9001","0.0010","營業額(仟元)"
"=""2362""","藍天","5782.0000","母公司","","601141.0000","母公司","","0.0000","母公司","","137.2000","kgCO2e/樓地板面積"
"=""2363""","矽統","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2364""","倫飛","665.4470","母公司","","無，詳年報說明","","","無，詳年報說明","","","無，無統計相關數據",""
"=""2365""","昆盈","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2367""","燿華","3721.0800","僅母公司","ISO 9001","105521.8500","僅母公司","ISO 9001","31552.0800","僅母公司","ISO 9001","0.0400","產量"
"=""2368""","金像電","45303.0000","合併財務報表之母子公司","ISO 9001","362505.0000","合併財務報表之母子公司","ISO 9001","33672.0000","合併財務報表之母子公司","ISO 9001","16.5923","百萬元營業額"
"=""2369""","菱生","1846.7307","僅母公司","ISO 9001","65725.4404","僅母公司","ISO 9001","20266.8008","僅母公司","ISO 9001","12.3626","產品"
"=""2371""","大同","1616.5200","僅母公司","","19356.6100","僅母公司","","無，無統計相關數據","","","無，129.66公噸CO2e/億元(範疇一+二)",""
"=""2373""","震旦行","997.7930","僅母公司","","1538.2557","僅母公司","","無，無統計相關數據","","","0.0010","營業額"
"=""2374""","佳能","111.0890","母公司","","944.8190","母公司","","無，無統計相關數據","","","0.2953","營業額"
"=""2375""","凱美","1192.1110","子公司","","8498.0350","子公司","","無，無統計相關數據","","","9690.1410","產品"
"=""2376""","技嘉","1063.5185","技嘉科技營運總部、桃園南平廠、中國東莞廠和寧波廠 及子公司百事益國際和盈嘉科技台北矽谷園區。","ISO 9001","28874.4279","技嘉科技營運總部、桃園南平廠、中國東莞廠和寧波廠 及子公司百事益國際和盈嘉科技台北矽谷園區。","ISO 9001","5767898.7246","技嘉科技營運總部、桃園南平廠、中國東莞廠和寧波廠 及子公司百事益國際和盈嘉科技台北矽谷園區。","ISO 9001","0.2456","百萬營業額"
"=""2377""","微星","430.0000","母公司","ISO 9001","6988.0000","母公司","ISO 9001","64.7000","母公司","ISO 9001","0.0370","營業額"
"=""2379""","瑞昱","32.4700","僅包含瑞昱新竹營運總部","","23925.5200","僅包含瑞昱新竹營運總部","","無，110年範疇三排放量,尚在盤查統計中。","","","無，無統計相關數據",""
"=""2380""","虹光","165.5700","母公司","","926.6200","母公司","","無，無統計相關數據","","","0.0200","產品"
"=""2382""","廣達","32425.2200","資料邊界： 廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB","ISO 9001","647700.1500","資料邊界： 廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB","ISO 9001","20732.0000","資料邊界： 廣達電腦(股)公司臺灣總部QRDC及廣達台灣製造城QTMC、廣達上海製造城QSMC、廣達重慶製造城QCMC、廣達泰國廠QMB","ISO 9001","無，無統計相關數據",""
"=""2383""","台光電","15679.4300","母公司","ISO 9001","25755.5600","母公司","ISO 9001","9707.9090","母公司","ISO 9001","0.0045","公噸CO2 e /總營收(新台幣仟元)"
"=""2385""","群光","7273.2400","群光電子(含海外各廠區，不含子公司)","ISO 9001","90208.3000","群光電子(含海外各廠區，不含子公司)","ISO 9001","46738660.4400","群光電子(含海外各廠區，不含子公司)","ISO 9001","97481.5400","營業額"
"=""2387""","精元","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2388""","威盛","無，3","","","1730.0000","威盛電子台北總公司","","無，未盤查（預計於明年度揭露111年度之盤查結果）","","","無，今年度ESG專案進行相關資料之盤查",""
"=""2390""","云辰","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2392""","正崴","11802.0000","母公司及主要生產基地之子公司","ISO 9001","234489.0000","母公司及主要生產基地之子公司","ISO 9001","606.0000","母公司及主要生產基地之子公司","ISO 9001","無，無統計相關數據",""
"=""2393""","億光","438.6000","總公司，苗栗苑裡廠、苗栗銅鑼廠","","35916.1000","億光電子台灣地區","","無，無統計相關數據","","","6.4000","產品"
"=""2395""","研華","3371.1863","台灣、中國","ISO 9001","28690.2202","包含研華總部(瑞光大樓、陽光大樓、東湖廠、林口園區)、中國昆山廠區","ISO 9001","2308.9975","台灣廠區、中國昆山廠區","ISO 9001","0.5800","營業額百萬"
"=""2397""","友通","484.2737","友通資訊之組織邊界設定以營運控制權為主，其盤查組織邊界之溫室氣體排放量百分之百歸屬本公司，友通包括汐止遠雄總部、汐止工廠及桃園工廠，其中汐止工廠於2021年4月至10月搬遷，11月25日完成交屋。","ISO 9001","2817.3847","友通資訊之組織邊界設定以營運控制權為主，其盤查組織邊界之溫室氣體排放量百分之百歸屬本公司，友通包括汐止遠雄總部、汐止工廠及桃園工廠，其中汐止工廠於2021年4月至10月搬遷，11月25日完成交屋。","ISO 9001","無，無統計相關數據","","","無，無統計相關數據",""
"=""2399""","映泰","無，3","","","無，僅有辦公處所，無生產製造且法令無規範。","","","無，僅有辦公處所，無生產製造且法令無規範。","","","無，僅有辦公處所，無生產製造且法令無規範。",""
"=""2401""","凌陽","3.8570","僅母公司","","3957.0900","母公司","","無，無統計相關數據","","","49.7540","營業額"
"=""2402""","毅嘉","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2404""","漢唐","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2405""","輔信","無，3","","","439.0460","母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2406""","國碩","39.3500","國碩二廠和國碩新豐廠","","3673.4300","國碩二廠和國碩新豐廠","","無，無統計相關數據","","","0.0045","835,000萬元"
"=""2408""","南亞科","56409.0000","母公司","ISO 9001","373639.0000","母公司","ISO 9001","972973.0000","母公司","ISO 9001","0.3830","千顆晶粒"
"=""2409""","友達","79186.2900","全球營運據點","ISO 9001","2841287.5500","全球營運據點","ISO 9001","1286084.6400","全球營運據點及友達晶材","ISO 9001","0.0420","產品(米平方)"
"=""2412""","中華電","17887.4700","資料涵蓋覆蓋中華電信總公司、各地營運處、及分公司等組織邊界範圍","ISO 9001","716979.2590","資料涵蓋覆蓋中華電信總公司、各地營運處、及分公司等組織邊界範圍","ISO 9001","1456835.3440","資料涵蓋覆蓋中華電信總公司、各地營運處、及分公司等組織邊界範圍","ISO 9001","3.4914","百萬營業額"
"=""2413""","環科","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2414""","精技","無，無統計相關數據","","","714.4143","僅母公司","","無，無統計相關數據","","","0.0341","佰萬營業額"
"=""2415""","錩新","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2417""","圓剛","8.1000","資料涵蓋範圍為總公司","","471.1000","資料涵蓋範圍為總公司","","無，無統計相關數據","","","0.1000","營業額"
"=""2419""","仲琦","76.9978","僅母公司","ISO 9001","666.2544","僅母公司","ISO 9001","135.5970","僅母公司","ISO 9001","2.1470","營業額"
"=""2420""","新巨","326.0000","合併財務報表之母子公司","","5188.0000","合併財務報表之母子公司","","無，無統計相關數據","","","2.0700","百萬營業額"
"=""2421""","建準","1147.2000","以上數據揭露以集團生產據點為主。","","29239.7100","以上數據揭露以集團生產據點為主。","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2423""","固緯","1420.0000","母公司","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2424""","隴華","70.7200","僅母公司","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2425""","承啟","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2426""","鼎元","11145.2480","母公司","ISO 9001","18404.0710","母公司","ISO 9001","4080.0750","母公司","ISO 9001","10.0060","百萬營業額"
"=""2427""","三商電","無，3","","","194.7000","母公司","","無，無統計相關數據","","","0.6200","員工人數"
"=""2428""","興勤","141.4770","總公司+楠梓1廠+楠梓2廠","","6065.2850","總公司+楠梓1廠+楠梓2廠","","無，無統計相關數據","","","0.0014","產品"
"=""2429""","銘旺科","無，3","","","無，N/A","","","無，N/A","","","無，N/A",""
"=""2430""","燦坤","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2431""","聯昌","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2433""","互盛電","229.0959","僅母公司","","290.8181","僅母公司","","無，無統計相關數據","","","0.0090","營業額"
"=""2434""","統懋","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2436""","偉詮電","無，3","","","1050.0000","包含合併財務報表之母子公司","","無，資料收集中","","","0.2900","營業額單位為佰萬元"
"=""2438""","翔耀","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2439""","美律","890.8852","母公司與部分合併財務報表之子公司","ISO 14001","23442.3934","母公司與部分合併財務報表之子公司","ISO 14001","1136.3790","母公司與部分合併財務報表之子公司","ISO 14001","0.6725","營業額單位為百萬元"
"=""2440""","太空梭","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2441""","超豐","715.4958","超豐電子股份有限公司營運範圍","","107870.1320","超豐電子股份有限公司營運範圍","","23882.2433","超豐電子股份有限公司營運範圍","","無，無統計相關數據",""
"=""2442""","新美齊","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2444""","兆勁","無，無統計相關數據","","","830.4000","僅本公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2449""","京元電子","7111.0000","含母子公司","ISO 9001","407079.0000","含母子公司","ISO 9001","70678.0000","母公司","ISO 9001","1436.2600","營業額"
"=""2450""","神腦","221.0329","母公司新店總公司共11處辦公室","ISO 9001","347.9377","母公司新店總公司共11處辦公室","ISO 9001","158.7924","母公司新店總公司共11處辦公室","ISO 9001","1.6400","人"
"=""2451""","創見","37.7210","僅母公司","","3953.7520","僅母公司","","無，無統計相關數據","","","0.2800","百萬營業額"
"=""2453""","凌群","無，3","","","1132.0000","母公司","","無，無統計相關數據","","","0.2029","百萬營業額"
"=""2454""","聯發科","5326.0000","僅母公司","","61992.0000","僅母公司","","無，無統計相關數據","","","6.1300","母公司員工人數"
"=""2455""","全新","561.3146","平鎮廠、平鎮二廠","ISO 9001","14812.2128","平鎮廠、平鎮二廠","ISO 9001","無，無統計相關數據","","","15373.5274","產品"
"=""2457""","飛宏","613.0000","合併財務報表之母子公司","","29580.0000","合併財務報表之母子公司","","無，無統計相關數據","","","4.8000","營業額"
"=""2458""","義隆","132.7260","義隆電子、義隆香港、義晶、義碩、義傳","ISO 14001","2865.0770","義隆電子、義隆香港、義晶、義碩、義傳","ISO 14001","13.0180","義隆電子、義隆香港、義晶、義碩、義傳","ISO 14001","0.0036","產品"
"=""2459""","敦吉","無，無統計相關數據","","","394.0000","母公司及子公司敦吉檢測科技股份有限公司台北商辦大樓","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2460""","建通","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2461""","光群雷","6.1200","僅母公司","","1821.7500","僅母公司","","無，無統計相關數據","","","1.3500","百萬營業額"
"=""2462""","良得電","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2464""","盟立","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2465""","麗臺","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2466""","冠西電","無，無統計相關數據","","","2916.5000","母公司宜蘭廠","","無，無統計相關數據","","","0.0049","營業額"
"=""2467""","志聖","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2468""","華經","0.0000","包含合併財務報表之母子公司","","340.0000","包含合併財務報表之母子公司","","0.0000","包含合併財務報表之母子公司","","無，無統計相關數據",""
"=""2471""","資通","無，詳年報說明","","","無，詳年報說明","","","244.0000","僅母公司","","無，無統計相關數據",""
"=""2472""","立隆電","無，無統計相關數據","","ISO 14001","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2474""","可成","7682.4130","僅母公司台南廠區","","63938.7360","僅母公司台南廠區","","63.9811","僅母公司台南廠區外包交通運輸之柴油","","0.0125","產品"
"=""2476""","鉅祥","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2477""","美隆電","19.9365","母公司","","521.7780","母公司","","無，上下游廠商及運輸公司未有效統計溫室氣體排放量","","","無，無完整範疇三資料統計",""
"=""2478""","大毅","440.0133","母公司","","27881.6824","母公司","","862.8508","母公司","","0.0000","營業額"
"=""2480""","敦陽科","5.5000","新竹總公司、台北辦事處、花蓮辦事處","","412.5000","新竹總公司、台北辦事處","","無，無統計相關數據","","","418.0000","營業額"
"=""2481""","強茂","1479.6800","岡山廠","","25063.2600","岡山廠","","394.8900","岡山廠","","3.0942","營業額"
"=""2482""","連宇","無，無統計相關數據","","","655.0500","僅母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2483""","百容","無，3","","","1402.5000","僅母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2484""","希華","455.9800","母公司","","13509.5300","母公司","","無，無統計相關數據","","","4.9500","百萬營業額"
"=""2485""","兆赫","4641.4245","僅母公司","","無，尚未統計","","","無，尚未統計","","","0.0000","營業額"
"=""2486""","一詮","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2488""","漢平","7.3800","範疇一是針對直接來自於母公司所擁有或控制的排放源，其包含固定燃燒源、製程排放、交通運輸上之移動燃燒源及逸散性的排放源，排放係數依環保署最新公告溫室氣體排放係數管理表6.0.4版計算。","","374.1100","範疇二是指能源間接排放，如外購電力。電力排放係數依經濟部能源局最新公告之最新電力排碳係數計算。(母公司)","","無，無統計相關數據","","","0.1535","佰萬營業額"
"=""2489""","瑞軒","568.7500","1.範疇涵蓋母公司(含總公司/越南廠)及子公司(蘇州樂軒科技有限公司) 2.數據涵蓋直接擁有或控制的排放源所直接排放的溫室氣體","","2023.0000","1.範疇涵蓋母公司(含總公司/越南廠)及子公司(蘇州樂軒科技有限公司) 2.外購電力產生溫室氣體排放","","無，公司未盤查範疇(三) 上游運輸/通勤商旅/下游運輸等間接溫室氣體排放","","","0.9356","營業額"
"=""2491""","吉祥全","88.1210","母子公司","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2492""","華新科","8836.0000","華新科技及子公司(東莞華科電子有限公司 / 蘇州華科電子有限公司 / 廣州匯僑電子有限公司)","ISO 9001","294019.0000","華新科技及子公司(東莞華科電子有限公司 / 蘇州華科電子有限公司 / 廣州匯僑電子有限公司)","ISO 9001","24987.0000","華新科技(台灣廠)-ISO14064:2018類別3+類別4","ISO 9001","0.2680","產品"
"=""2493""","揚博","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2495""","普安","無，無統計相關數據","","","2561.2000","僅母公司","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2496""","卓越","無，無統計相關數據","","","無，無統計相關數據","","","無，詳年報說明","","","無，無統計相關數據",""
"=""2497""","怡利電","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
"=""2498""","宏達電","199.4600","範圍以HTC台灣區域為主，涵蓋所有HTC在台灣執行營運的母子公司組織範疇","ISO 14001","8124.9200","範圍以HTC台灣區域為主，涵蓋所有HTC在台灣執行營運的母子公司組織範疇","ISO 14001","1729.3800","範圍以HTC台灣區域為主，涵蓋所有HTC在台灣執行營運的母子公司組織範疇","ISO 14001","1.5850","單位為t-CO2e/百萬營業額"
"=""2501""","國建","18.1160","僅母公司","ISO 14001","344.7690","僅母公司","ISO 14001","145.1420","僅母公司","ISO 14001","3.3400","員工人數"
"=""2504""","國產","無，無統計相關數據","","","1425.0000","僅總公司及汐止、台中及台南廠","","無，無統計相關數據","","","2.3200","員工數"
"=""2505""","國揚","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據","","","無，無統計相關數據",""
