"報告年度:2023","議題:人力發展"
"公司代號","公司名稱","員工福利平均數(每年6/2起公開)(仟元/人)-員工福利平均數(每年6/2起公開)(仟元/人)","員工薪資平均數(每年6/2起公開)(仟元/人)-員工薪資平均數(每年6/2起公開)(仟元/人)","非擔任主管職務之全時員工薪資平均數(每年7/1起公開)(仟元/人)-非擔任主管職務之全時員工薪資平均數(每年7/1起公開)(仟元/人)","非擔任主管職務之全時員工薪資中位數(每年7/1起公開)(仟元/人)-非擔任主管職務之全時員工薪資中位數(每年7/1起公開)(仟元/人)","管理職女性主管占比-管理職女性主管占比","職業災害-人數","職業災害-比率","職業災害-類別","火災-件數","火災-死傷人數","火災-比率(死傷人數/員工總人數)"
"=""4538""","大詠城","698","574","518","462","33.00%","2","1.65%","","0","0","0"
"=""4541""","晟田","697","603","636","552","15.87%","27","4.42%","","0","0","0"
"=""4542""","科嶠","933","774","702","650","2.70%","0","0.00%","N/A","0","0","0"
"=""4543""","萬在","594","497","466","413","36.84%","3","1.06%","","0","0","0"
"=""4549""","桓達","736","587","606","527","27.12%","5","1.97%","","0","0","0"
"=""4550""","長佳","1,038","866","856","795","44.44%","2","2.25%","","0","0","0"
"=""4554""","橙的","840","700","645","566","7.00%","0","0.00%","N/A","0","0","0"
"=""4556""","旭然","834","689","599","497","40.63%","0","0.00%","","0","0","0"
"=""4558""","寶緯","593","481","570","463","37.74%","0","0.00%","","1","0","0.00%"
"=""4561""","健椿","852","732","629","568","40.00%","4","1.80%","","0","0","0"
"=""4563""","百德","1,032","880","848","804","18.75%","0","0.00%","","0","0","0"
"=""4568""","科際精密","1,079","893","758","631","11.10%","0","0.00%","","0","0","0"
"=""4577""","達航科技","892","725","809","723","11.11%","0","0.00%","","0","0","0"
"=""4580""","捷流閥業","1,164","1,017","895","800","30.43%","0","0.00%","","0","0","0"
"=""4584""","君帆","781","666","607","534","29.27%","5","3.45%","","0","0","0"
"=""4609""","唐鋒","1,068","943","758","753","40.00%","0","0.00%","N/A","0","0","0"
"=""4702""","中美實","1,028","851","755","760","31.58%","0","0.00%","","0","0","0"
"=""4706""","大恭","801","639","643","621","38.46%","9","4.52%","","0","0","0"
"=""4707""","磐亞","953","796","680","614","27.27%","0","0.00%","","0","0","0"
"=""4711""","永純","908","767","695","664","25.00%","0","0.00%","永純化工僅有1名員工於上下班通勤途中發生車禍，非屬我國職業安全衛生法第2條第5款職災認定。","0","0","0"
"=""4714""","永捷","1,055","920","567","518","11.11%","0","0.00%","","0","0","0"
"=""4716""","大立","785","637","565","520","17.65%","1","5.54%","","0","0","0"
"=""4721""","美琪瑪","931","766","816","694","2.00%","0","0.00%","","0","0","0"
"=""4726""","永昕","1,093","936","916","821","42.86%","0","0.00%","","1","0","0.00%"
"=""4728""","雙美","1,129","978","842","727","35.30%","7","5.00%","5件為通勤災害、2件為廠區扭傷，已加強宣導交通安全及廠區移動安全觀念。","0","0","0"
"=""4729""","熒茂","653","529","502","422","36.00%","5","1.50%","","0","0","0"
"=""4735""","豪展","1,444","1,257","752","589","30.00%","0","0.00%","","0","0","0"
"=""4741""","泓瀚","767","644","583","489","1.81%","0","0.00%","","0","0","0"
"=""4743""","合一","1,627","1,184","969","732","72.00%","0","0.00%","","0","0","0"
"=""4744""","皇將","807","692","483","449","34.00%","0","0.00%","","0","0","0"
"=""4745""","合富-KY","N/A","N/A","N/A","N/A","54.55%","0","0.00%","","0","0","0"
"=""4747""","強生製藥","916","796","700","634","44.44%","0","0.00%","","0","0","0"
"=""4754""","國碳科","1,093","945","709","541","22.00%","0","0.00%","","0","0","0"
"=""4760""","勤凱科技","670","536","529","459","30.00%","0","0.00%","","0","0","0"
"=""4767""","誠泰科技","1,194","1,023","831","748","29.00%","0","0.00%","","0","0","0"
"=""4768""","晶呈科技","1,561","1,383","855","789","27.27%","0","0.00%","","0","0","0"
"=""4804""","大略-KY","N/A","N/A","N/A","N/A","0.00%","0","0.00%","","0","0","0"
"=""4806""","昇華","1,107","912","836","657","23.00%","0","0.00%","N/A","0","0","0"
"=""4903""","聯光通","1,171","985","549","598","11.00%","0","0.00%","N/A","0","0","0"
"=""4905""","台聯電","1,390","1,238","633","590","29.00%","0","0.00%","","0","0","0"
"=""4907""","富宇","2,287","2,104","988","837","22.22%","0","0.00%","","0","0","0"
"=""4908""","前鼎","964","826","774","545","27.45%","0","0.00%","","0","0","0"
"=""4909""","新復興","640","540","502","490","19.00%","0","0.00%","","0","0","0"
"=""4911""","德英","949","820","489","506","42.80%","0","0.00%","","0","0","0"
"=""4923""","力士","1,307","1,112","805","678","10.00%","0","0.00%","","0","0","0"
"=""4924""","欣厚-KY","N/A","N/A","N/A","N/A","0.00%","0","0.00%","N/A","0","0","0"
"=""4931""","新盛力","685","548","533","424","17.39%","11","2.89%","","0","0","0"
"=""4933""","友輝","897","774","725","640","20.00%","2","1.00%","","0","0","0"
"=""4939""","亞電","1,941","1,663","1,056","1,038","37.00%","0","0.00%","","0","0","0"
"=""4945""","陞達科技","1,506","1,300","1,041","1,033","30.43%","0","0.00%","","0","0","0"
"=""4946""","辣椒","1,050","876","663","385","44.44%","0","0.00%","","0","0","0"
"=""4951""","精拓科","1,793","1,524","1,249","1,259","16.00%","0","0.00%","","0","0","0"
"=""4953""","緯軟","1,001","841","898","847","53.70%","0","0.00%","","0","0","0"
"=""4966""","譜瑞-KY","N/A","N/A","N/A","N/A","19.00%","1","0.13%","","0","0","0"
"=""4971""","IET-KY","N/A","N/A","N/A","N/A","24.00%","0","0.00%","","0","0","0"
"=""4972""","湯石照明","1,233","1,061","789","762","43.33%","2","0.27%","N/A","0","0","0"
"=""4973""","廣穎電通","901","766","750","530","28.10%","0","0.00%","","0","0","0"
"=""4974""","亞泰","2,296","2,092","1,618","1,511","42.86%","0","0.00%","","0","0","0"
"=""4979""","華星光","727","603","550","451","33.00%","1","0.22%","","0","0","0"
"=""4987""","科誠","737","613","545","436","57.00%","1","0.39%","","0","0","0"
"=""4991""","環宇-KY","N/A","N/A","N/A","N/A","4.14%","1","0.64%","","0","0","0"
"=""4995""","晶達","958","819","764","673","7.00%","0","0.00%","N/A","0","0","0"
"=""5009""","榮剛","1,254","1,067","997","976","12.50%","8","0.80%","","1","0","0.00%"
"=""5011""","久陽","667","541","555","505","57.00%","0","0.00%","本公司職業災害類別，彙整112年度發生的職業災害共計0件","0","0","0"
"=""5013""","強新","864","720","690","666","16.07%","6","1.28%","","0","0","0"
"=""5014""","建錩","765","626","596","532","10.15%","1","0.15%","","0","0","0"
"=""5015""","華祺","755","642","576","470","5.00%","0","0.00%","N/A","0","0","0"
"=""5016""","松和","783","650","666","621","33.00%","5","1.32%","","0","0","0"
"=""5201""","凱衛","1,117","952","846","792","33.33%","0","0.00%","","0","0","0"
"=""5202""","力新","1,439","1,251","944","831","36.00%","0","0.00%","","0","0","0"
"=""5205""","中茂","926","787","389","337","0.00%","0","0.00%","","0","0","0"
"=""5206""","坤悅","1,576","1,352","1,052","932","33.33%","0","0.00%","","0","0","0"
"=""5209""","新鼎","1,463","1,260","1,170","1,042","10.53%","0","0.00%","","0","0","0"
"=""5210""","寶碩","906","769","765","685","18.18%","0","0.00%","","0","0","0"
"=""5211""","蒙恬","1,195","987","873","787","1.96%","2","3.92%","","0","0","0"
"=""5212""","凌網","1,086","920","968","849","5.96%","0","0.00%","","0","0","0"
"=""5213""","亞昕","1,551","1,324","1,215","1,172","1.25%","0","0.00%","","0","0","0"
"=""5220""","萬達光電","655","539","515","438","21.74%","0","0.00%","","0","0","0"
"=""5227""","立凱-KY","N/A","N/A","N/A","N/A","6.21%","6","3.53%","","0","0","0"
"=""5228""","鈺鎧","657","545","538","461","19.35%","0","0.00%","","0","0","0"
"=""5230""","雷笛克光學","822","681","831","695","30.00%","0","0.00%","N/A","0","0","0"
"=""5236""","凌陽創新","2,700","2,434","2,336","2,011","17.20%","2","1.55%","","0","0","0"
"=""5245""","智晶","790","662","633","547","48.00%","0","0.00%","","0","0","0"
"=""5251""","天鉞電","1,347","1,158","788","699","25.00%","0","0.00%","","0","0","0"
"=""5263""","智崴","956","793","803","713","4.80%","0","0.00%","","0","0","0"
"=""5272""","笙科","1,610","1,396","1,341","1,184","22.22%","0","0.00%","N/A","0","0","0"
"=""5274""","信驊","3,768","3,459","3,248","2,923","14.00%","0","0.00%","N/A","0","0","0"
"=""5276""","達輝-KY","N/A","N/A","N/A","N/A","2.00%","0","0.00%","","0","0","0"
"=""5278""","尚凡","1,660","1,461","1,351","1,322","42.00%","0","0.00%","N/A","0","0","0"
"=""5287""","數字","1,752","1,557","880","798","53.70%","3","1.61%","","0","0","0"
"=""5289""","宜鼎","1,328","1,155","1,082","795","3.20%","0","0.00%","","0","0","0"
"=""5291""","邑昇","712","584","516","442","22.00%","0","0.00%","","0","0","0"
"=""5299""","杰力","1,446","1,225","1,226","1,015","22.22%","0","0.00%","","0","0","0"
"=""5301""","寶得利","946","790","701","612","8.33%","0","0.00%","","0","0","0"
"=""5302""","太欣","1,483","1,304","924","915","3.00%","0","0.00%","","0","0","0"
"=""5309""","系統電","1,267","1,084","900","688","20.70%","0","0.00%","","0","0","0"
"=""5310""","天剛","823","654","551","540","33.00%","0","0.00%","N/A","0","0","0"
"=""5312""","寶島科","963","829","813","688","33.33%","0","0.00%","","0","0","0"
"=""5314""","世紀","995","824","527","596","30.00%","0","0.00%","","0","0","0"
"=""5315""","光聯","613","490","482","402","13.98%","0","0.00%","","0","0","0"
"=""5321""","美而快","1,466","1,248","635","504","33.33%","0","0.00%","N/A","0","0","0"
"=""5324""","士開","1,617","1,403","1,161","1,087","22.22%","0","0.00%","","0","0","0"
"=""5328""","華容","1,394","1,235","837","805","44.00%","0","0.00%","無","0","0","0"
"=""5340""","建榮","726","609","594","529","22.22%","0","0.00%","","0","0","0"
"=""5344""","立衛","678","523","574","479","5.26%","0","0.00%","N/A","0","0","0"
"=""5345""","天揚","1,088","906","804","614","0.00%","0","0.00%","","0","0","0"
"=""5347""","世界","1,621","1,295","1,485","1,076","20.20%","10","0.01%","2023年度世界先進公司同仁職業傷害件數為10件，主要類型為人員挫傷及扭傷，無死亡案件。上列為同仁於作業中發生之小型傷害，事件發生時即啟動員工關懷至休養復工，並就事故原因進行檢討、強化作業場所各安全管理環節及主管監督機制，另就硬體面進行改善降低人為失誤風險。","0","0","0"
"=""5348""","正能量智能","915","771","712","675","40.00%","0","0.00%","","0","0","0"
"=""5351""","鈺創","1,658","1,359","1,312","900","31.11%","1","0.33%","交通事故","0","0","0"
"=""5353""","台林","1,015","877","766","645","42.80%","3","0.67%","員工職災案件屬輕度(碰撞、壓偒、夾傷)","0","0","0"
"=""5355""","佳總","603","494","468","438","23.81%","0","0.00%","無","0","0","0"
"=""5356""","協益","726","607","526","454","33.33%","4","1.33%","","0","0","0"
"=""5364""","力麗店","717","600","528","445","50.00%","0","0.00%","","0","0","0"
"=""5371""","中光電","1,324","1,116","1,203","1,125","24.55%","1","0.06%","跌倒事件","0","0","0"
"=""5381""","合正","1,194","1,022","599","803","50.00%","1","2.00%","按申報單","0","0","0"
"=""5386""","青雲","1,114","894","818","711","40.00%","0","0.00%","","0","0","0"
"=""5392""","能率","1,857","1,646","747","730","17.65%","0","0.00%","","0","0","0"
"=""5398""","慕康生醫","896","778","671","510","16.67%","0","0.00%","","0","0","0"
"=""5403""","中菲","1,791","1,614","1,386","1,128","21.05%","0","0.00%","","0","0","0"
"=""5410""","國眾","974","823","745","694","13.04%","0","0.00%","","0","0","0"
"=""5425""","台半","1,014","871","821","638","8.57%","0","0.00%","無職災","0","0","0"
"=""5426""","振發","757","623","536","482","16.00%","0","0.00%","","0","0","0"
"=""5432""","新門","855","696","607","547","1.00%","0","0.00%","","0","0","0"
"=""5438""","東友","1,385","1,191","1,015","905","8.24%","0","0.00%","","0","0","0"
"=""5439""","高技","971","833","798","701","31.21%","4","0.62%","","0","0","0"
"=""5443""","均豪","1,230","1,051","1,051","978","3.37%","1","0.00%","","0","0","0"
"=""5450""","南良","770","672","626","543","18.83%","14","2.68%","","0","0","0"
"=""5452""","佶優","1,715","1,492","1,078","738","42.86%","0","0.00%","N/A","0","0","0"
"=""5455""","昇益","1,207","1,059","1,084","963","75.00%","0","0.00%","","0","0","0"
"=""5457""","宣德","804","659","671","519","28.95%","4","4.17%","","0","0","0"
"=""5460""","同協","875","764","693","622","52.17%","0","0.00%","N/A","0","0","0"
"=""5464""","霖宏","569","424","428","401","33.00%","0","0.00%","","0","0","0"
"=""5465""","富驊","1,662","1,487","975","938","55.00%","0","0.00%","","0","0","0"
"=""5468""","凱鈺","1,290","1,124","852","795","67.00%","0","0.00%","N/A","0","0","0"
"=""5474""","聰泰","1,685","1,468","1,335","1,097","30.00%","0","0.00%","","0","0","0"
"=""5475""","德宏","910","803","495","477","0.00%","0","0.00%","","0","0","0"
"=""5478""","智冠","1,110","976","943","820","11.91%","0","0.00%","","0","0","0"
"=""5481""","新華","1,160","975","672","614","33.00%","0","0.00%","N/A","0","0","0"
"=""5483""","中美晶","1,747","1,579","1,452","1,370","20.03%","6","0.96%","災害類型分別為被撞、濺觸、跌倒、夾傷、灼傷、螫傷各 1 件","0","0","0"
"=""5487""","通泰","1,267","1,085","1,002","939","7.00%","0","0.00%","N/A","0","0","0"
"=""5488""","松普","724","600","559","551","15.00%","0","0.00%","","0","0","0"
"=""5489""","彩富","889","751","744","645","29.13%","2","0.55%","兩起皆為下班途中交通意外事故。 ","0","0","0"
"=""5490""","同亨","1,282","1,091","1,007","939","30.77%","0","0.00%","","0","0","0"
"=""5493""","三聯","1,377","1,187","1,125","1,113","35.00%","0","0.00%","","0","0","0"
"=""5498""","凱崴","864","717","586","547","14.29%","0","0.00%","","0","0","0"
"=""5508""","永信建","2,023","1,537","1,400","1,312","62.50%","0","0.00%","","0","0","0"
"=""5511""","德昌","1,057","863","1,032","973","3.90%","0","0.00%","","0","0","0"
"=""5512""","力麒","1,248","1,045","952","915","22.22%","0","0.00%","","0","0","0"
"=""5514""","三豐","1,615","1,438","978","953","8.00%","1","2.56%","交通意外","0","0","0"
"=""5516""","雙喜","816","692","706","616","0.20%","4","1.49%","","1","0","0.00%"
"=""5520""","力泰","1,527","1,395","1,327","1,148","20.00%","0","0.00%","","0","0","0"
"=""5523""","豐謙","1,309","1,037","759","663","50.00%","0","0.00%","N/A","0","0","0"
"=""5529""","鉅陞","2,022","1,668","873","780","44.44%","0","0.00%","","0","0","0"
"=""5530""","龍巖","1,196","1,037","920","743","49.00%","11","1.85%","","0","0","0"
"=""5536""","聖暉*","1,746","1,552","1,341","1,117","23.00%","0","0.00%","","0","0","0"
"=""5543""","桓鼎-KY","N/A","N/A","N/A","N/A","1.23%","8","0.77%","","0","0","0"
"=""5548""","安倉","905","773","781","651","11.11%","8","2.76%","","0","0","0"
"=""5601""","台聯櫃","1,113","995","886","856","50.00%","0","0.00%","","0","0","0"
"=""5603""","陸海","1,005","854","806","741","23.07%","0","0.00%","","0","0","0"
"=""5604""","中連","1,064","896","674","691","25.00%","0","0.00%","","0","0","0"
"=""5609""","中菲行","1,371","1,147","2,194","1,159","57.00%","2","1.34%","","0","0","0"
"=""5701""","劍湖山","599","469","449","391","42.00%","10","2.46%","交通事故5件、跌倒2件、墜/滾落2件、與高/低溫之接觸1件","0","0","0"
"=""5703""","亞都麗緻","574","482","464","457","40.48%","6","37.97%","","0","0","0"
"=""5704""","老爺知","772","655","560","472","25.00%","7","3.47%","跌倒：1件 不當動作：1件 交通事故：2件 物體飛落：1件 高溫接觸：1件 墜落、滾落：1件","0","0","0"
"=""5864""","致和證","952","813","537","480","5.70%","0","0.00%","","0","0","0"
"=""5878""","台名","897","762","598","546","5.26%","0","0.00%","","0","0","0"
"=""5902""","德記","1,095","936","809","705","46.00%","0","0.00%","","0","0","0"
"=""5903""","全家","562","482","800","733","43.86%","3","0.06%","","0","0","0"
"=""5904""","寶雅","562","461","557","505","76.94%","18","0.33%","執行職務災害共5人，上下班通勤車禍共13人。 共計17人暫時全失能、1人永久部份失能。","1","0","0.00%"
"=""5905""","南仁湖","532","442","406","388","16.67%","1","0.47%","","0","0","0"
"=""6015""","宏遠證","1,288","1,115","990","798","61.11%","0","0.00%","","0","0","0"
"=""6016""","康和證","1,542","1,359","1,074","866","25.00%","0","0.00%","N/A","0","0","0"
"=""6020""","大展證","1,330","1,173","655","684","29.41%","0","0.00%","","0","0","0"
"=""6021""","美好證","1,374","1,187","994","846","47.22%","2","0.51%","","0","0","0"
"=""6023""","元大期貨","1,942","1,729","1,418","1,233","45.90%","1","0.25%","","0","0","0"
"=""6026""","福邦證","1,452","1,270","1,227","1,018","4.00%","0","0.00%","","0","0","0"
"=""6101""","寬魚國際","1,580","1,405","795","721","25.00%","0","0.00%","","0","0","0"
"=""6103""","合邦","1,016","837","584","507","33.33%","0","0.00%","","0","0","0"
"=""6104""","創惟","2,144","1,895","1,795","1,591","16.67%","0","0.00%","","0","0","0"
"=""6109""","亞元","1,071","923","745","681","38.46%","0","0.00%","N/A","0","0","0"
"=""6111""","大宇資","1,486","1,318","752","666","42.86%","0","0.00%","","0","0","0"
"=""6113""","亞矽","1,228","1,037","931","924","53.85%","0","0.00%","","0","0","0"
"=""6114""","久威","952","771","759","624","33.33%","0","0.00%","電子材料代理及銷售，無此情事發生。","0","0","0"
"=""6118""","建達","770","629","546","493","40.00%","0","0.00%","","0","0","0"
"=""6121""","新普","1,555","1,282","1,410","1,246","29.00%","0","0.00%","","0","0","0"
"=""6122""","擎邦","1,312","1,136","1,028","917","18.20%","0","0.00%","","0","0","0"
"=""6123""","上奇","1,486","1,227","901","792","20.00%","0","0.00%","","0","0","0"
"=""6124""","業強","1,123","940","680","598","14.00%","0","0.00%","","0","0","0"
"=""6125""","廣運","1,482","1,323","1,002","829","14.00%","8","1.86%","為捲夾、割傷及員工通勤","0","0","0"
"=""6126""","信音","941","794","784","733","38.36%","0","0.00%","噪声、粉尘、X射线、丁酮、乙酸乙酯、异丙酸、甲醇、丁醇、锡烟、其它粉尘、电焊烟尘、二氧化锡","0","0","0"
"=""6127""","九豪","757","615","517","494","31.82%","3","1.36%","","0","0","0"
"=""6129""","普誠","1,194","1,015","1,045","947","31.03%","0","0.00%","","0","0","0"
"=""6130""","上亞科技","1,174","1,015","735","528","40.00%","0","0.00%","N/A","0","0","0"
"=""6134""","萬旭","867","733","660","605","20.00%","0","0.00%","","0","0","0"
"=""6138""","茂達","1,802","1,462","1,451","1,270","23.00%","0","0.00%","","0","0","0"
"=""6140""","訊達電腦","921","758","646","562","35.71%","0","0.00%","N/A","0","0","0"
"=""6143""","振曜","900","722","711","642","25.00%","1","0.22%","","0","0","0"
"=""6144""","得利影","565","458","556","447","83.00%","2","1.98%","","0","0","0"
"=""6146""","耕興","1,300","1,155","1,076","789","30.59%","3","0.38%","","0","0","0"
"=""6147""","頎邦","1,064","897","912","781","24.58%","21","0.40%","1. 物理性：被撞、跌倒、捲夾、切/割/擦傷、高/低溫接觸、其他 2. 化學性：與有害物接觸 3. 人因性：不當動作 （以上統計為無失能輕傷害）","0","0","0"
"=""6148""","驊宏資","1,050","901","758","667","41.67%","0","0.00%","","0","0","0"
"=""6150""","撼訊","1,062","886","708","606","28.00%","0","0.00%","","0","0","0"
"=""6151""","晉倫","922","770","700","572","12.05%","0","0.00%","","0","0","0"
"=""6154""","順發","556","443","482","434","37.93%","1","0.00%","","0","0","0"
"=""6156""","松上","1,755","1,530","991","779","45.00%","0","0.00%","","0","0","0"
"=""6158""","禾昌","1,287","1,122","968","851","23.27%","1","0.70%","","0","0","0"
"=""6160""","欣技","949","779","738","642","6.83%","0","0.00%","","0","0","0"
"=""6161""","捷波","1,239","1,088","975","747","40.00%","0","0.00%","","0","0","0"
"=""6163""","華電網","1,296","1,115","1,003","881","22.60%","3","0.39%","","0","0","0"
"=""6167""","久正","878","730","635","565","42.00%","0","0.00%","N/A","0","0","0"
"=""6169""","昱泉","902","748","699","627","50.00%","0","0.00%","","0","0","0"
"=""6170""","統振","2,352","2,128","909","628","17.65%","0","0.00%","","0","0","0"
"=""6171""","大城地產","881","679","712","665","83.33%","0","0.00%","","0","0","0"
"=""6173""","信昌電","814","675","715","623","33.00%","7","0.97%","","0","0","0"
"=""6174""","安碁","623","509","507","453","47.50%","1","0.42%","","0","0","0"
"=""6175""","立敦","936","787","723","679","29.50%","0","0.00%","NA","0","0","0"
"=""6179""","亞通","1,073","902","923","892","20.00%","0","0.00%","","0","0","0"
"=""6180""","橘子","1,283","1,095","1,079","833","6.08%","1","0.09%","主要區分「實體安全」、「門禁安全」、「公共安全」、「設備安全」與「作業安全」五種類別所發生的任何災害。","0","0","0"
"=""6182""","合晶","863","614","728","671","18.50%","3","0.25%","割傷、夾傷、跌倒","0","0","0"
"=""6185""","幃翔","943","788","589","596","20.00%","0","0.00%","N/A","0","0","0"
"=""6186""","新潤","2,287","1,949","1,509","1,445","42.86%","0","0.00%","N/A","0","0","0"
"=""6187""","萬潤","1,466","1,159","1,154","1,012","22.92%","0","0.00%","","0","0","0"
"=""6188""","廣明","1,802","1,577","1,549","1,269","16.00%","6","0.33%","N/A","0","0","0"
"=""6190""","萬泰科","992","836","844","682","4.76%","0","0.00%","N/A","0","0","0"
"=""6194""","育富","1,059","806","574","554","0.00%","0","0.00%","","0","0","0"
"=""6195""","詩肯","766","634","618","554","68.30%","2","0.57%","N/A","0","0","0"
"=""6198""","瑞築","1,111","853","748","637","20.00%","0","0.00%","","0","0","0"
"=""6199""","天品","965","814","655","498","11.00%","0","0.00%","","0","0","0"
"=""6203""","海韻電","1,160","993","945","780","38.46%","0","0.00%","","0","0","0"
"=""6204""","艾華","1,024","888","595","519","64.28%","0","0.00%","","0","0","0"
"=""6207""","雷科","787","643","703","637","25.80%","2","1.05%","挫傷、機械操作不當致使跌落","0","0","0"
"=""6208""","日揚","994","837","953","784","14.29%","3","0.57%","","0","0","0"
"=""6210""","慶生","682","565","566","530","46.15%","0","0.00%","","0","0","0"
"=""6212""","理銘","1,560","1,393","1,367","1,189","50.00%","0","0.00%","","0","0","0"
"=""6217""","中探針","818","668","694","555","25.00%","0","0.00%","","0","0","0"
"=""6218""","豪勉","1,147","989","898","781","22.00%","0","0.00%","","0","0","0"
"=""6219""","富旺","1,634","1,429","863","712","38.10%","0","0.00%","","0","0","0"
"=""6220""","岳豐","766","621","544","496","29.00%","1","0.79%","","0","0","0"
"=""6221""","晉泰","1,468","1,279","1,108","928","25.00%","0","0.00%","","0","0","0"
"=""6222""","上揚","811","679","501","529","25.00%","0","0.00%","","0","0","0"
"=""6223""","旺矽","1,426","1,216","1,326","1,167","2.00%","1","0.06%","員工失能傷害、承攬商失能傷害、重大職災","0","0","0"
"=""6227""","茂綸","1,563","1,404","1,409","1,313","21.00%","0","0.00%","N/A","0","0","0"
"=""6228""","全譜","906","763","659","596","40.00%","0","0.00%","","0","0","0"
"=""6229""","研通","1,129","941","762","754","0.00%","0","0.00%","N/A","0","0","0"
"=""6231""","系微","1,355","1,183","1,159","973","13.00%","0","0.00%","無","0","0","0.00%"
"=""6233""","旺玖","1,370","1,190","1,205","1,082","33.33%","0","0.00%","","0","0","0"
"=""6234""","高僑","788","683","616","435","5.00%","2","2.30%","","0","0","0"
"=""6236""","中湛","1,042","880","888","719","50.00%","0","0.00%","","0","0","0"
"=""6237""","驊訊","1,918","1,507","1,220","1,115","3.57%","0","0.00%","","0","0","0"
"=""6240""","松崗","1,343","1,139","933","857","40.00%","0","0.00%","","0","0","0"
"=""6241""","易通展","924","781","742","620","25.00%","0","0.00%","","0","0","0"
"=""6242""","立康","700","583","602","522","64.00%","1","0.79%","","0","0","0"
"=""6244""","茂迪","855","718","713","576","21.74%","0","0.00%","無重大災害","0","0","0"
"=""6245""","立端","1,188","1,027","916","749","28.46%","2","0.27%","","0","0","0"
"=""6246""","臺龍","1,139","997","701","704","20.00%","0","0.00%","N/A","0","0","0"
"=""6248""","沛波","917","764","678","603","53.85%","2","1.50%","","0","0","0"
"=""6259""","百徽","1,191","1,023","717","720","33.00%","0","0.00%","N/A","0","0","0"
"=""6261""","久元","1,072","902","992","765","22.34%","0","0.00%","","0","0","0"
"=""6263""","普萊德","1,183","1,026","910","875","53.30%","0","0.00%","本公司 112 年度無發生職災件數。","0","0","0"
"=""6264""","富裔","933","789","736","617","27.27%","0","0.00%","","0","0","0"
"=""6265""","方土昶","1,476","1,290","674","661","40.00%","0","0.00%","N/A","0","0","0"
"=""6266""","泰詠","783","646","638","542","50.00%","7","1.40%","","0","0","0"
"=""6270""","倍微","1,382","1,172","995","904","8.75%","0","0.00%","","0","0","0"
"=""6274""","台燿","1,013","857","786","684","8.00%","2","0.20%","跌倒、夾傷各1","0","0","0"
"=""6275""","元山","719","613","582","460","33.33%","0","0.00%","","0","0","0"
"=""6276""","安鈦克","1,384","1,187","823","723","54.50%","0","0.00%","","0","0","0"
"=""6279""","胡連","1,053","864","819","671","28.79%","7","0.23%","切割擦傷、撞傷、機械傷害、跌傷、高處墜落","0","0","0"
"=""6284""","佳邦","959","822","696","610","30.72%","1","0.11%","","0","0","0"
"=""6287""","元隆","854","726","601","516","26.32%","11","2.51%","","0","0","0"
"=""6290""","良維","1,459","1,276","1,080","805","10.94%","5","0.29%","","0","0","0"
"=""6291""","沛亨","1,135","946","899","922","33.33%","0","0.00%","N/A","0","0","0"
"=""6292""","迅德","1,793","1,646","1,304","934","40.00%","0","0.00%","","0","0","0"
"=""6294""","智基","696","592","530","482","62.50%","1","0.23%","","0","0","0"
"=""6411""","晶焱","3,324","3,104","1,951","1,592","18.00%","0","0.00%","","0","0","0"
"=""6417""","韋僑","672","568","576","458","37.74%","5","1.10%","","0","0","0"
"=""6418""","詠昇","882","732","584","547","33.33%","0","0.00%","N/A","0","0","0"
"=""6419""","京晨科","922","773","829","683","25.00%","0","0.00%","","0","0","0"
"=""6425""","易發","987","827","815","758","7.14%","3","1.42%","","0","0","0"
"=""6432""","今展科","1,052","870","790","686","33.33%","0","0.00%","","0","0","0"
"=""6435""","大中","1,677","1,434","1,478","1,427","43.48%","0","0.00%","","0","0","0"
"=""6441""","廣錠","928","796","511","427","18.18%","0","0.00%","","0","0","0"
"=""6457""","紘康","1,447","1,125","1,081","1,006","22.22%","0","0.00%","","0","0","0"
"=""6461""","益得","1,294","1,136","940","834","26.67%","0","0.00%","","0","0","0"
"=""6462""","神盾","1,957","1,713","1,700","1,310","27.91%","0","0.00%","","0","0","0"
"=""6465""","威潤","1,137","965","883","816","12.86%","0","0.00%","","0","0","0"
"=""6469""","大樹","623","500","541","494","80.75%","16","0.73%","上下班其他交通事故-11件 墜落、滾落-2件 無法歸類者-1件 跌倒-1件 其他-1件 ","0","0","0"
"=""6470""","宇智","1,107","958","827","652","16.00%","0","0.00%","","0","0","0"
"=""6482""","弘煜科","751","635","567","523","40.00%","0","0.00%","","0","0","0"
"=""6485""","點序","1,425","1,207","1,262","1,067","20.00%","0","0.00%","","0","0","0"
"=""6486""","互動","1,378","1,199","1,081","889","26.00%","0","0.00%","交通事故、跌倒、墜落、感電 ","0","0","0"
"=""6488""","環球晶","1,697","1,510","1,386","1,280","18.62%","27","0.37%","切割傷、夾傷、撞傷、跌倒、有害物接觸、扭傷","0","0","0"
"=""6492""","生華科","1,992","1,752","1,147","1,179","66.67%","0","0.00%","","0","0","0"
"=""6494""","九齊","1,906","1,655","2,459","2,265","20.00%","0","0.00%","N/A","0","0","0"
"=""6496""","科懋","1,243","1,068","1,021","868","43.66%","1","0.76%","通勤職災","0","0","0"
"=""6499""","益安","1,552","1,299","996","835","67.00%","0","0.00%","","0","0","0"
"=""6506""","雙邦","722","602","554","514","17.78%","5","1.44%","","0","0","0"
