"報告年度:2023","議題:投資人溝通"
"公司代號","公司名稱","公司年度召開法說會次數(次)-公司年度召開法說會次數(次)","利害關係人或公司治理專區連結-利害關係人或公司治理專區連結"
"=""5345""","天揚","1","https://www.teamyoung.com/zh-tw"
"=""5347""","世界","4","https://www.vis.com.tw/tc/cs_stakeholder"
"=""5348""","正能量智能","0","https://www.emtgroup.com.tw/report/"
"=""5351""","鈺創","1","https://etron.com/zh-hant/esg/stakeholder/"
"=""5353""","台林","2","www.tailyn.com.tw"
"=""5355""","佳總","1","www.gia-tzoong.com.tw"
"=""5356""","協益","1","http://www.sirtec.com.tw/index.php?option=com_content&task=view&id=246&Itemid=156"
"=""5364""","力麗店","0","www.lealeahotel.com"
"=""5371""","中光電","4","https://www.coretronic.com/csr/shareholder"
"=""5381""","合正","1","www.uniplus.com.tw"
"=""5386""","青雲","0","Http://www.albatron.com.tw"
"=""5392""","能率","1","www.avy.com.tw"
"=""5398""","慕康生醫","0","http://www.mediera.com.tw"
"=""5403""","中菲","1","http://www.ddsc.com.tw"
"=""5410""","國眾","1","www.leosys.com"
"=""5425""","台半","5","www.taiwansemi.com"
"=""5426""","振發","1","www.chengfwa.com.tw"
"=""5432""","新門","0","https://www.solomon-es.com.tw/利害關係人專區/"
"=""5438""","東友","2","http://www.tecoimage.com.tw/Investor/zh-tw/investor.html"
"=""5439""","高技","1","http://www.fht.com.tw/web/tw/page/99"
"=""5443""","均豪","1","https://www.gpmcorp.com.tw/investors_finance.php"
"=""5450""","南良","1","www.namliong-global.com"
"=""5452""","佶優","1","https://www.unicgroup.com/?page_id=77"
"=""5455""","昇益","1","www.signality.com.tw"
"=""5457""","宣德","3","https://www.speedtech.com.tw/stakeholder-ch/"
"=""5460""","同協","1","http://www.mustang-group.com/mustang/c_down_j4.jsp"
"=""5464""","霖宏","1","www.lhtech.com.tw"
"=""5465""","富驊","1","https://lfe-ww.com/investor/Chinese/AboutUs-sh.htm"
"=""5468""","凱鈺","0","www.tmtech.com.tw"
"=""5474""","聰泰","1","https://www.yuan.com.tw/zh-tw/investor/stakeholders"
"=""5475""","德宏","1","http://www.glotechgf.com"
"=""5478""","智冠","2","http://www.soft-world.com/Connect/Stakeholder"
"=""5481""","新華","1","investor@sinotact.com"
"=""5483""","中美晶","7","http://www.saswafer.com"
"=""5487""","通泰","0","https://www.tontek.com.tw/company/person"
"=""5488""","松普","1","http://www.sunfpu.com.tw"
"=""5489""","彩富","1","https://www.dynacolor.com.tw/zh-hant/csr/#av-tab-section-1-2"
"=""5490""","同亨","1","https://www.xac.com.tw"
"=""5493""","三聯","0","http://www.sanlien.com.tw/ss003/"
"=""5498""","凱崴","1","http://www.key-ware.com.tw/invest/index7.asp"
"=""5508""","永信建","1","www.ys-construction.com.tw"
"=""5511""","德昌","1","http://www.tccon.com.tw/investor02.html#investor02_03"
"=""5512""","力麒","1","www.rhd.com.tw"
"=""5514""","三豐","1","sunfon.com.tw/esg-stakeholder-zone/"
"=""5516""","雙喜","0","http://www.sunsea.com.tw/relationship.php"
"=""5520""","力泰","0","https://www.lihtai.com"
"=""5523""","豐謙","1","www.fong-chien.com.tw"
"=""5529""","鉅陞","1","https://mega-international.com.tw"
"=""5530""","龍巖","4","www.lyls.com.tw"
"=""5536""","聖暉*","4","https://www.acter.com.tw/stakeholder/communication"
"=""5543""","桓鼎-KY","1","www.buima.com.tw"
"=""5548""","安倉","1","http://www.ancang.com/stakeholder/STAKEHOLDERS"
"=""5601""","台聯櫃","1","http://www.tactc.com.tw/"
"=""5603""","陸海","1","www.sea-land.com.tw"
"=""5604""","中連","1","http://www.cltc.com.tw/investor/home.htm"
"=""5609""","中菲行","1","http://www.dimerco.com/Financial/eIR/IR/IRHome.aspx?Language=C"
"=""5701""","劍湖山","1","http://www.janfusun.com.tw"
"=""5703""","亞都麗緻","1","https://taipei.landishotelsresorts.com/chinese-trad/about.php?id=33"
"=""5704""","老爺知","0","http://www.hotelroyal.com.tw/chihpen/investors.aspx?NO=169"
"=""5864""","致和證","1","www.wintan.com.tw"
"=""5878""","台名","1","https://www.tabc.com.tw/investors.aspx?ID=48"
"=""5902""","德記","1","https://www.tait.com.tw/tw/investors/stakeholder.aspx"
"=""5903""","全家","4","www.family.com.tw"
"=""5904""","寶雅","8","www.poya.com.tw"
"=""5905""","南仁湖","1","http://www.nanrenhu.com.tw/index.php?controller=investor"
"=""6015""","宏遠證","2","https://www.honsec.com.tw/about/"
"=""6016""","康和證","1","https://www.concords.com.tw/home/PDefault.htm"
"=""6020""","大展證","4","www.tachan.com.tw"
"=""6021""","美好證","1","www.goodfinance.com"
"=""6023""","元大期貨","2","http://www.yuantafutures.com.tw/website/investors_01"
"=""6026""","福邦證","2","http://www.gfortune.com.tw/stakeholders/stakeholders_001.asp"
"=""6101""","寬魚國際","1","https://kwansinternational.wixsite.com/kwansinternational/blog"
"=""6103""","合邦","1","http://www.avid.com.tw"
"=""6104""","創惟","1","http://www.genesyslogic.com.tw/investors_relationship.php"
"=""6109""","亞元","1","www.atechoem.com"
"=""6111""","大宇資","1","group.softstar.com.tw"
"=""6113""","亞矽","0","https://www.asec.com.tw/investor/Stakeholder/"
"=""6114""","久威","0","http://www.juic.com.tw"
"=""6118""","建達","2","www.xander.com.tw"
"=""6121""","新普","2","www.simplo.com.tw"
"=""6122""","擎邦","1","www,kpec.com.tw"
"=""6123""","上奇","1","www.grandtech.com"
"=""6124""","業強","1","http://www.yctc.com.tw/Contact%20Us.htm"
"=""6125""","廣運","2","http://www.kenmec.com/tw/Stakeholder.aspx"
"=""6126""","信音","1","http://www.singatron.com.tw/s/1/quality.html"
"=""6127""","九豪","1","https://www.leatec.com/zh/Interestedparty.html#interested03"
"=""6129""","普誠","1","http://www.princeton.com.tw/zh-tw/投資人服務/公司治理/利害關係人專區.aspx"
"=""6130""","上亞科技","1","http://www.genomeib.com/about_a_1.html"
"=""6134""","萬旭","1","www.wanshih.com.tw/list/stakeholder-contact-window.htm"
"=""6138""","茂達","2","https://www.esg.anpec.com.tw/investors/article-detail/Stakeholders/"
"=""6140""","訊達電腦","0","www.dimension.com.tw"
"=""6143""","振曜","1","http://www.netronixinc.com/investors_D_01.html"
"=""6144""","得利影","1","http://www.deltamac.com.tw/"
"=""6146""","耕興","9","http://www.sporton.com.tw/page.aspx?uid=157"
"=""6147""","頎邦","4","www.chipbond.com.tw"
"=""6148""","驊宏資","1","www.azion.com.tw"
"=""6150""","撼訊","0","https://www.tul.com.tw/tw/Stakeholder"
"=""6151""","晉倫","0","www.ginar.com.tw"
"=""6154""","順發","1","https://www.sunfar.com.tw/finance/organization.aspx"
"=""6156""","松上","2","www.song-shang.com.tw"
"=""6158""","禾昌","0","www.p-two.com"
"=""6160""","欣技","1","http://www.cipherlab.com.tw"
"=""6161""","捷波","1","https://jetwayipc.com/tw/stakeholder/"
"=""6163""","華電網","1","www.hwacom.com"
"=""6167""","久正","1","http://www.powertip.com.tw/investor_3.php"
"=""6169""","昱泉","1","www.interserv.com.tw/tw/index.php"
"=""6170""","統振","2","https://www.welldone.com.tw/zh-tw/investors_stakeholders.php"
"=""6171""","大城地產","1","www.aries-net.com.tw/service.php"
"=""6173""","信昌電","1","http://www.pdc.com.tw/investor/co_governance.html"
"=""6174""","安碁","0","http://www.aker.com.tw/investors_6.html"
"=""6175""","立敦","1","http://www.liton.com.tw/"
"=""6179""","亞通","1","www.ateenergy.com.tw"
"=""6180""","橘子","8","http://www.gamania.com"
"=""6182""","合晶","2","Http://www.waferworks.com"
"=""6185""","幃翔","1","https://www.plastronconn.com/zh_TW/investors"
"=""6186""","新潤","1","http://www.shinruenn.com"
"=""6187""","萬潤","6","www.allring-tech.com.tw"
"=""6188""","廣明","1","http://www.qsitw.com/"
"=""6190""","萬泰科","1","http://www.wontex.com/ch/about_4.php"
"=""6194""","育富","0","www.yufo.com.tw"
"=""6195""","詩肯","0","https://www.topshine.tw"
"=""6198""","瑞築","0","http://www.richcircle.com.tw"
"=""6199""","天品","1","www.datafab.com"
"=""6203""","海韻電","1","https://investor.seasonic.com/stakeholder-area/"
"=""6204""","艾華","1","https://www.taiwanalpha.com/tw/investors?parent_id=72"
"=""6207""","雷科","1","https://www.lasertek.com.tw/csr_communication.php"
"=""6208""","日揚","1","https://www.htcvacuum.com/zh-tw/investor/index/ESG/stakeholder"
"=""6210""","慶生","0","www.kintech.com.tw"
"=""6212""","理銘","1","http://www.met.com.tw"
"=""6217""","中探針","1","https://www.ccpcontactprobes.com/investor"
"=""6218""","豪勉","1","http://www.hauman.com.tw/webc/html/investor/02.aspx?kind=46"
"=""6219""","富旺","1","https://www.fwgroup.com.tw/investor/"
"=""6220""","岳豐","1","www.cables.com.tw"
"=""6221""","晉泰","1","https://www.genesis.com.tw/tw/about/index.aspx?root=10&kind=19"
"=""6222""","上揚","0","http://www.sotac.com.tw/web/investment/investment.jsp?lang=tw"
"=""6223""","旺矽","9","https://www.mpi.com.tw/investors-relationship/stakeholder-contacts/"
"=""6227""","茂綸","1","http://www.macnica.com"
"=""6228""","全譜","0","www.scanace.com"
"=""6229""","研通","0","www.vtac.com.tw"
"=""6231""","系微","3","https://www.insyde.com/zh-hant/investor-relations/corporate-governance/structure"
"=""6233""","旺玖","1","http://www.prolific.com.tw/TW/stakeholder-engagement.aspx?id=15"
"=""6234""","高僑","1","http://www.teraauto.com.tw/ab.php?id=117"
"=""6236""","中湛","0","https://www.neithcorp.com/product.php?_path=product_detail&upid=59"
"=""6237""","驊訊","1","http://www.cmedia.com.tw/TW/ShareHolders_srv.html"
"=""6240""","松崗","0","annie@kingsinfo.com.tw"
"=""6241""","易通展","0","https://www.amigo.com.tw/interested-parties/"
"=""6242""","立康","1","http://www.likangbio.com/zh-tw/a4-2239/%E5%88%A9%E5%AE%B3%E9%97%9C%E4%BF%82%E4%BA%BA%E5%B0%88%E5%8D%"
"=""6244""","茂迪","1","https://www.motech.com.tw/supplier_supports.php"
"=""6245""","立端","1","https://www.lannerinc.com/investor/"
"=""6246""","臺龍","0","www.tai-lon.com/investor/investor_cid6.html"
"=""6248""","沛波","2","www.tmpco.com.tw"
"=""6259""","百徽","0","http://www.bullwill.com.tw/investor_interested.php"
"=""6261""","久元","1","https://www.ytec.com.tw/Stakeholder.php"
"=""6263""","普萊德","2","www.planet.com.tw/tw/ir/corporate-governance"
"=""6264""","富裔","1","http://www.kingland.com.tw/TradChinese/Departments/Stakeholder"
"=""6265""","方土昶","1","www.kc-uppertech.com"
"=""6266""","泰詠","1","http://www.topunion.com.tw"
"=""6270""","倍微","1","http://www.pct.com.tw"
"=""6274""","台燿","8","http://www.tuc.com.tw/zh-tw/corporate/id/13"
"=""6275""","元山","2","https://www.ystech.com.tw/investors_more_15_64.html"
"=""6276""","安鈦克","0","http://www.antec.com"
"=""6279""","胡連","5","http://www.hulane.com"
"=""6284""","佳邦","2","www.inpaq.com.tw"
"=""6287""","元隆","1","www.ampi.com.tw/"
"=""6290""","良維","1","http://www.longwell.com.tw/Investment/tou-zi.asp"
"=""6291""","沛亨","1","www.analog.com.tw"
"=""6292""","迅德","0","www.axis.com.tw"
"=""6294""","智基","1","http://www.tekom.com.tw/"
"=""6411""","晶焱","1","www.amazingIC.com"
"=""6417""","韋僑","1","https://www.sag.com.tw/investor-relations/"
"=""6418""","詠昇","0","http://www.yselec.com.tw"
"=""6419""","京晨科","1","http://www.nuuo.com/CompanyNode.php?node_id=8#1"
"=""6425""","易發","1","https://www.efctw.com"
"=""6432""","今展科","0","www.arlitech.com.tw"
"=""6435""","大中","2","https://www.sinopowersemi.com/investors/"
"=""6441""","廣錠","0","www.ibasesolution.com.tw"
"=""6457""","紘康","0","www.hycontek.com"
"=""6461""","益得","1","investor@intechbiopharm.com"
"=""6462""","神盾","1","http://www.egistec.com"
"=""6465""","威潤","1","http://www.atrack.com.tw/investors/公司治理/"
"=""6469""","大樹","5","http://www.greattree.com.tw/article-page/investor"
"=""6470""","宇智","0","http://www.u-media.com.tw"
"=""6482""","弘煜科","1","http://fy.com.tw/investors/investors_1.htm"
"=""6485""","點序","0","www.asolid-tek.com"
"=""6486""","互動","1","https://www.idtech.com.tw/stakeholder"
"=""6488""","環球晶","11","https://www.sas-globalwafers.com/stakeholder/"
"=""6492""","生華科","1","http://www.senhwabio.com/tw/stakeholders"
"=""6494""","九齊","0","www.nyquest.com.tw/investors3.asp"
"=""6496""","科懋","4","http://www.excelsiorgroup.com.tw/Stakeholders.aspx"
"=""6499""","益安","1","www.medeonbiodesign.com"
"=""6506""","雙邦","1","http://www.shuang-bang.com/stake.html"
"=""6508""","惠光","1","http://www.huikwang.com/index.php?c=index"
"=""6509""","聚和","1","https://www.hopax.com/zh-tw/investor/overview"
"=""6510""","精測","4","http://www.chpt.com"
"=""6512""","啟發電","1","http://www.gomax-electronics.com.tw/"
"=""6516""","勤崴國際","0","www.kingwaytek.com"
"=""6517""","保勝光學","0","http://www.baso.com.tw/cht/investor1.aspx"
"=""6523""","達爾膚","4","https://www.drwu.com/pages/investor"
"=""6527""","明達醫","1","http://www.crystalvue.com.tw"
"=""6530""","創威","0","www.axcen.com.tw"
"=""6532""","瑞耘","0","http://www.calitech.com.tw/zh-tw/investor/interested"
"=""6535""","順藥","1","www.lumosa.com.tw"
"=""6538""","倉和","1","http://www.bch.com.tw"
"=""6542""","隆中","1","https://www.gamesparcs.com/"
"=""6546""","正基","2","http://www.ampak.com.tw"
"=""6547""","高端疫苗","1","http://www.medigenvac.com/public/investors/stakeholders"
"=""6548""","長科*","8","www.cwtcglobal.com"
"=""6556""","勝品","0","www.topviewcorp.com"
"=""6560""","欣普羅","1","http://www.appropho.com"
"=""6561""","是方","6","www.chief.com.tw"
"=""6568""","宏觀","2","http://www.rafaelmicro.com/investor"
"=""6569""","醫揚","2","http://www.onyx-healthcare.com/invest.php"
"=""6570""","維田","1","https://www.aplex.com/"
"=""6574""","霈方","1","www.mikobeaute.com"
"=""6576""","逸達","3","http://www.foreseepharma.com/investors/2"
"=""6577""","勁豐","2","https://promate.com/cht/esg-cht/stakeholder/"
"=""6578""","達邦蛋白","1","www.dabombprotein.com"
"=""6584""","南俊國際","1","http://www.repon.com.tw/"
"=""6588""","東典","0","https://www.east-tender.com/investors/"
"=""6589""","台康生技","7","http://www.eirgenix.com"
"=""6590""","普鴻","0","N/A"
"=""6593""","台灣銘板","0","www.tnp.com.tw"
"=""6596""","寬宏藝術","1","http://www.khaminc.com.tw"
"=""6603""","富強鑫","2","www.fcs.com.tw/tw/interested.php"
"=""6609""","瀧澤科","1","http://www.takisawa.com.tw/service-line.php"
"=""6612""","奈米醫材","1","www.icaresmedicus.com"
"=""6613""","朋億*","4","www.novatech.com.tw"
"=""6615""","慧智","2","http://www.sofivagenomics.com.tw"
"=""6616""","特昇-KY","1","https://www.techcential-international.com/related_party/"
"=""6617""","共信-KY","0","建置中"
"=""6624""","萬年清","0","http://www.ever-clear.com.tw/"
"=""6629""","泰金-KY","1","www.thai-kin.com"
"=""6637""","醫影","0","http://www.mic-tw.com"
"=""6640""","均華","0","https://www.gmmcorp.com.tw/?page_id=29"
"=""6642""","富致","0","www.fuzetec.com/cht/invest.php"
"=""6643""","M31","5","https://www.m31tech.com"
"=""6649""","台生材","1","無"
"=""6651""","全宇昕","0","http://www.cystekec.com"
"=""6654""","天正國際","0","http://www.tz-int-ltd.com"
"=""6661""","威健生技","1","http：//www.welgene.com.tw"
"=""6662""","樂斯科","1","www.biolasco.com.tw"
"=""6664""","群翊","1","http://www.gpline.com.tw/investor.shtml"
"=""6667""","信紘科","0","http://www.trusval.com.tw"
"=""6679""","鈺太","0","www.zilltek.com"
"=""6680""","鑫創電子","1","http://www.sintrones.com/"
"=""6683""","雍智科技","1","http://www.ksmt.com.tw"
"=""6684""","安格","0","www.algoltek.com.tw"
"=""6690""","安碁資訊","4","https://www.acercsi.com/"
"=""6692""","進能服","1","https://acmepointes.com/governance/stakeholder/"
"=""6693""","廣閎科","2","http://www.inergy.com.tw/"
"=""6697""","東捷資訊","2","https://www.itts.com.tw/zh-tw/stakeholder"
"=""6703""","軒郁","1","https://reurl.cc/Ejlk91"
"=""6708""","天擎","0","www.mars-semi.com.tw/investor/investor-shareholders/"
"=""6712""","長聖","2","https://www.ever-supreme.com.tw/service/14.htm"
"=""6716""","應廣","2","http://www.padauk.com.tw"
"=""6721""","信實","0","http://www.sincere-group.com.tw/%e5%88%a9%e5%ae%b3%e9%97%9c%e4%bf%82%e4%ba%ba/"
"=""6727""","亞泰金屬","1","https://www.asiametalinc.com/services/services-e"
"=""6728""","上洋","2","http://www.upyoung.com.tw"
"=""6732""","昇佳電子","8","http://www.sensortek.com.tw"
"=""6733""","博晟生醫","2","https://www.biogend.com.tw/"
"=""6735""","美達科技","2","http://www.amidatec.com/"
"=""6741""","91APP*-KY","7","https://ir.91app.com/tw/"
"=""6747""","亨泰光","2","http://www.brightenoptix.com"
"=""6751""","智聯服務","1","https://www.acer-ast.com/finance/#block1970"
"=""6752""","叡揚","2","https://www.gss.com.tw/csr"
"=""6761""","穩得","1","https://www.wendell.com.tw/zh/investors/"
"=""6762""","達亞","1","https://www.deltaasia.com.tw/"
"=""6763""","綠界科技","2","https://corp.ecpay.com.tw/#company_info"
"=""6767""","台微醫","1","http://wiltrom.com.tw/big5/investor6.php"
"=""6785""","昱展新藥","1","www.alarpharm.com"
"=""6788""","華景電","0","無"
"=""6791""","虎門科技","0","https://www.cadmen.com/corp-stakeholder"
"=""6803""","崑鼎","4","http://www.ecove.com"
"=""6804""","明係","1","www.axman.com.tw"
"=""6811""","宏碁資訊","5","https://www.aceraeb.com/"
"=""6821""","聯寶","1","www.linkcom.com.tw"
"=""6823""","濾能","2","https://www.greenfiltec.com/"
"=""6829""","千附精密","4","https://www.cfprec.com.tw/"
"=""6840""","東研信超","3","www.btl.com.tw"
"=""6841""","長佳智能","3","https://www.everfortuneai.com.tw/"
"=""6843""","進典","1","www.jdv.com.tw"
"=""6844""","諾貝兒","0","無"
"=""6846""","綠茵","2","http://greenynbio.com/page.php?menu_id=5"
"=""6855""","數泓科","3","http://www.eclatorq.com"
"=""6856""","鑫傳","1","https://st-media.com.tw/invertor/shareholders/"
"=""6859""","伯特光","0","https://www.best-opto.com"
"=""6865""","偉康科技","0","https://www.webcomm.com.tw/web/tw/investor/"
"=""6870""","騰雲","2","https://www.turn2cloud.com"
"=""6874""","倍力","4","www.mpinfo.com.tw"
"=""6875""","國邑*","2","http://www.pharmosa.com.tw"
"=""6877""","鏵友益","0","https://www.hyetech.com.tw/"
"=""6881""","潤德","0","https://rd.ruentex.com.tw/stakeholders_main.aspx"
"=""6894""","衛司特","1","https://www.recotech.com.tw/zh-tw/stakeholders"
"=""6895""","宏碩系統","2","https://www.wavepower.com.tw"
"=""6899""","創為精密","0","無"
"=""6903""","巨漢","0","https://www.jiuhan.com.tw/ESG"
"=""6904""","伯鑫","2","https://www.proxene.com.tw/"
"=""6922""","宸曜","2","https://www.neousys-tech.com/"
"=""6929""","佑全","1","http://www.yourchance.com.tw/"
"=""6953""","家碩","1","https://www.gdauto.com.tw"
"=""7402""","邑錡","2","http://www.brinno.com/tw/stakeholder"
"=""7556""","意德士科技","3","www.yeedex.com.tw"
"=""8024""","佑華","0","http://www.ealpha.com.tw/tw/info.asp"
"=""8027""","鈦昇","1","https://www.enr.com.tw/list/ir-1580715906.htm"
"=""8032""","光菱","0","www.koryo.com.tw"
"=""8034""","榮群","1","https://www.opnet.com.tw/zh-tw/a4-11049-12467/%E5%88%A9%E5%AE%B3%E9%97%9C%E4%BF%82%E4%BA%BA%E6%BA%9D"
"=""8038""","長園科","2","http://www.caec.com.tw/investor.php"
"=""8040""","九暘","1","www.icplus.com.tw"
"=""8042""","金山電","1","www.chinsan.com"
"=""8043""","蜜望實","1","http://www.threehhh.com.tw/?action=case&id=33"
"=""8044""","網家","8","https://corp.pchome.tw/corporate-social-responsibility/stakeholder-communication/"
"=""8047""","星雲","0","http://www.gccworld.com"
"=""8048""","德勝","1","https://www.rubytech.com.tw/rubytech/stakeholders/"
"=""8049""","晶采","1","http://www.ampire.com.tw/tc/p9-shareholder.asp"
"=""8050""","廣積","3","www.ibase.com.tw"
"=""8054""","安國","1","www.alcormicro.com/zh-tw/stakeholder/"
"=""8059""","凱碩","1","https://www.castlenet.com.tw/tw/page/192"
"=""8064""","東捷","1","www.contrel.com.tw"
"=""8066""","來思達","1","www.lifestyle-global.com"
"=""8067""","志旭","0","http://www.gish.com.tw/Page1.htm"
"=""8068""","全達","1","https://www.chander.com.tw/stakeholder.html"
"=""8069""","元太","11","https://esg.eink.com/tw/sustainable/stakeholders"
"=""8071""","能率網通","0","www.abico-fs.com.tw"
"=""8074""","鉅橡","1","http://www.aurona.com.tw/html/investment/08.aspx"
"=""8076""","伍豐","1","https://www.fecpos.com/tw/"
"=""8077""","洛碁","0","http://invest.greenworldhotels.com"
"=""8080""","印鉐","0","http://www.ost.com.tw/stakeholder.html"
"=""8083""","瑞穎","0","www.prohawk.com.tw"
"=""8084""","巨虹","1","www.chiphope.com/stakeholder"
"=""8085""","福華","1","http://www.fwd.com.tw"
"=""8086""","宏捷科","2","http://www.awsc.com.tw"
"=""8087""","華鎂鑫","0","http://www.leadsun-green.com/links.htm"
"=""8088""","品安","1","WWW.PANRAM.COM.TW"
"=""8089""","康全電訊","0","www.comtrend.com/tw/shareholder/2-7.html"
"=""8091""","翔名","0","https://www.feedback.com.tw/tw/investors/691"
"=""8092""","建暐","1","http://www.chienwei.com"
"=""8093""","保銳","0","http://www.enermax.com/home.php?fn=chi/management"
"=""8096""","擎亞","1","http://www.coasiaelec.com/investor-relations/press-release/?lang=zh-hant"
"=""8097""","常珵","0","www.atwtechnology.com"
"=""8099""","大世科","1","https://www.etatung.com/Home/ShowProductionInfoIdea?ID=6bffb077-a090-4f72-a70b-573cc5e519c7"
"=""8107""","大億金茂","1","http://www.kenmos.com/investors/investors.htm"
"=""8109""","博大","1","www.pduke.com"
"=""8111""","立碁","1","http://www.ligitek.com"
"=""8121""","越峰","2","https://www.usig.com/ACMECSR/Contact.aspx"
"=""8147""","正淩","0","https://www.nextrongroup.com/zh-TW/stakeholder-1"
"=""8155""","博智","1","http://www.accl.com.tw/"
"=""8171""","天宇","1","http：//www.feii.com.tw"
"=""8176""","智捷","1","www.zcom.com.tw"
"=""8182""","加高","1","http://www.hele.com.tw/responsibility.php?id=65"
"=""8183""","精星","1","ir@psaitc.com"
"=""8227""","巨有科技","0","www.pgc.com.tw"
"=""8234""","新漢","1","www.nexcom.com.tw"
"=""8240""","華宏","1","https://www.wahhong.com/sta.html"
"=""8255""","朋程","4","www.actron.com.tw"
"=""8277""","商丞","1","https://www.unifosa.com.tw/company_tw.php?id=55"
"=""8279""","生展","1","http://www.syngen.com.tw/contact_us.html"
"=""8284""","三竹","1","https://www.mitake.com.tw/Introduction_8.aspx"
"=""8289""","泰藝","2","http://www.taitien.com/tw/%E5%88%A9%E5%AE%B3%E9%97%9C%E4%BF%82%E4%BA%BA%E5%B0%88%E5%8D%80/"
"=""8291""","尚茂","0","www.shinemore.com.tw"
"=""8299""","群聯","19","www.phison.com"
"=""8342""","益張","2","http://www.ijang.com.tw/policy.htm"
"=""8349""","恒耀國際","2","http://www.qst.com.tw/cht/sub_2_8.html"
"=""8354""","冠好","1","http://www.koanhao.com"
"=""8358""","金居","1","http://www.co-tech.com/_ch/04_ir/01_detail.php"
"=""8383""","千附","1","WWW.CHENFULL.COM.TW"
"=""8390""","金益鼎","1","www.jyd.com.tw"
"=""8401""","白紗科","1","http://www.bsbs.com.tw/stock/stock.php?func=m_detail&m_id=111"
"=""8403""","盛弘","2","http://www.share-hope.com/"
"=""8409""","商之器","1","www.ebmtech.com"
"=""8410""","森田","1","http://www.sentien.com.tw/page_investors_detail002.html"
"=""8415""","大國鋼","1","www.brighton-best.com.tw/"
"=""8416""","實威","1","http://www.swtc.com/cht/formidable.php"
"=""8421""","旭源","0","www.xuyuanpack.com"
"=""8423""","保綠-KY","1","www.pgr.com.tw"
"=""8424""","惠普","0","http://www.wellpool.com.tw/stakeholder.php"
"=""8426""","紅木-KY","2","https://www.redwoodgroup.co/nc/18/120/"
"=""8431""","匯鑽科","0","https://thesuperiorplating.com/"
"=""8432""","東生華","4","http://www.tshbiopharm.com/stock.html"
"=""8433""","弘帆","1","evelyn@bonfame.com"
"=""8435""","鉅邁","0","http://www.zimmite.com/tc/p10-citizenship1.asp"
"=""8436""","大江","4","http://www.tci-bio.com/investor_f_about.html"
"=""8437""","大地-KY","1","http://www.edudadi.com/"
"=""8440""","綠電","0","www.eer.com.tw"
"=""8444""","綠河-KY","1","https://www.greenriverholding.com/zh-hant/利害關係人/"
"=""8446""","華研","1","http://www.him.com.tw/about.php"
"=""8450""","霹靂","2","https://beta.pili.com.tw/investor.php?category=company"
"=""8455""","大拓-KY","1","www.daito-me.com.tw/zh_TW/questionnaire/"
"=""8472""","夠麻吉","0","http://www.gomaji.com/stakeholder/pip_0.php"
"=""8477""","創業家","0","NA"
"=""8489""","三貝德","0","https://www.samebest.com.tw/interested-parties.html"
"=""8905""","裕國","1","www.eaglegroup.com.tw"
"=""8906""","花王","0","http://www.forward-net.com.tw"
"=""8908""","欣雄","1","www.shng.com.tw/Finance.aspx"
"=""8916""","光隆","6","http://www.klf-group.com/chinese/04_ir/01_company.php"
"=""8917""","欣泰","1","http://www.htgas.com.tw/"
"=""8921""","沈氏","0","www.shen.com.tw"
"=""8923""","時報","2","www.readingtimes.com.tw"
"=""8924""","大田","1","https://www.o-ta.com.tw/利害關係人專區/"
"=""8927""","北基","1","http://www.nspco.com.tw"
"=""8928""","鉅明","0","www.dynamic.com.tw"
"=""8929""","富堡","0","www.fuburg.com/index.php/stakeholders"
"=""8930""","青鋼","1","青鋼應用材料股份有限公司"
"=""8931""","大汽電","4","www.tycc.com.tw"
"=""8932""","智通","1","https://wiselink.tw/%e5%88%a9%e5%ae%b3%e9%97%9c%e4%bf%82%e4%ba%ba/"
"=""8933""","愛地雅","1","www.idealbike.com.tw"
"=""8935""","邦泰","1","http://www.pontex.com/finance/index.php?parent_id=34"
"=""8936""","國統","2","http://www.kti.com.tw/stakeholder.html"
"=""8937""","合騏","1","www.hercheemoto.com.tw"
"=""8938""","明安","1","www.adgroup.com.tw"
"=""8941""","關中","2","www.grandhall.com.tw"
"=""8942""","森鉅","2","http://xxentria-tech.com/"
"=""9949""","琉園","1","http://www.tittot.com/ch/zhTW-stockholder.jsp"
"=""9950""","萬國通","1","https：//tw.eminent.com/?route=article/invest"
"=""9951""","皇田","1","https://www.macauto-group.com/zh-hant/"
"=""9960""","邁達康","0","http://www.golfshop.com.tw/aboutus/aboutus_INVESTMENT.asp"
"=""9962""","有益","1","http://www.yeouyih.com.tw"
